Round,Hteam,Ateam,Hscore,Ascore,HorA,WorL,Date,Wether,Grass_condition,Spectators,temperature,TimeLine1,TimeLine2,TimeLine3,TimeLine4,TimeLine5,TimeLine6,Attack_CBP,Pass_CBP,Cross_CBP,Dribble_CBP,Shots_CBP,Score_CBP,Seizure,Diffence,Save_CBP,Expect_Goal,Shots,Shots_Success,On_Target,PK,Pass,Pass_Success,Cross,Cross_Success,D_FK,I_FK,CK,Throwing,Throwing_Success,Dribble,Dribble_Success,Tackle,Tackle_Success,Clear,Intercept,OffSide,Yellow,Red,Approach_30m,Approach_Penalty,Attack_Num,Chances,Control
第10節,ＦＣ琉球,ザスパクサツ群馬,0,1,0,3,2022.4.16 17:00 Kick Off,晴,全面良芝,"1,521人",21.2℃,29.0%,32.1%,37.0%,34.3%,23.5%,38.9%,8.21,7.16,0.92,0.13,5.85,4.29,67.72,15.90,0.08,1.248,8,(12.5%),3,0,289,(70.2%),14,(14.3%),13,4,10,13,(61.5%),2,(50.0%),11,(81.8%),16,1,2,1,0,23,11,110,7.3%,31.9%
第11節,ザスパクサツ群馬,ブラウブリッツ秋田,0,1,1,0,2022.4.24 17:00 Kick Off,雨,全面良芝,"1,926人",19.5℃,58.2%,60.2%,57.5%,59.3%,72.0%,57.0%,16.20,12.10,3.55,0.55,7.48,0.00,81.78,11.75,0.14,1.754,13,(0.0%),5,0,576,(76.7%),18,(38.9%),14,0,10,36,(66.7%),9,(55.6%),20,(70.0%),18,1,2,0,0,23,15,140,9.3%,59.9%
第12節,大宮アルディージャ,ザスパクサツ群馬,3,2,0,0,2022.4.27 19:00 Kick Off,曇,全面良芝,"4,761人",23.1℃,42.2%,48.0%,26.4%,22.8%,60.7%,62.5%,8.32,7.49,0.59,0.24,4.27,2.98,49.94,16.46,0.09,2.501,12,(16.7%),4,2,375,(72.0%),14,(7.1%),11,0,3,21,(76.2%),3,(66.7%),8,(50.0%),30,0,2,1,1,28,6,102,11.8%,42.3%
第13節,ザスパクサツ群馬,横浜ＦＣ,3,3,1,1,2022.5.1 14:00 Kick Off,雨,全面良芝,"3,292人",13.6℃,42.5%,26.0%,37.2%,35.9%,53.7%,46.5%,14.87,12.01,2.13,0.74,8.85,8.40,66.91,14.33,0.79,1.906,14,(21.4%),7,0,389,(77.1%),14,(28.6%),7,2,3,18,(77.8%),6,(50.0%),17,(41.2%),25,3,2,1,0,35,12,109,12.8%,39.2%
第14節,ヴァンフォーレ甲府,ザスパクサツ群馬,1,0,0,0,2022.5.4 14:00 Kick Off,晴,全面良芝,"7,503人",25.7℃,45.7%,49.6%,45.7%,40.0%,50.3%,48.0%,10.04,8.59,0.95,0.49,2.34,0.00,68.59,19.00,0.37,0.414,7,(0.0%),2,0,431,(77.7%),17,(11.8%),8,3,4,30,(86.7%),5,(80.0%),16,(56.3%),41,1,1,0,0,18,6,110,6.4%,46.2%
第15節,ザスパクサツ群馬,徳島ヴォルティス,0,0,1,1,2022.5.8 14:00 Kick Off,曇,全面良芝,"2,671人",21.8℃,35.8%,67.9%,54.8%,64.5%,47.7%,25.4%,10.33,9.51,0.00,0.82,9.39,0.00,57.64,11.78,0.00,1.435,15,(0.0%),7,0,397,(74.8%),14,(0.0%),13,0,5,33,(72.7%),10,(50.0%),8,(62.5%),17,1,1,0,0,29,4,116,12.9%,47.9%
第16節,ファジアーノ岡山,ザスパクサツ群馬,0,1,0,3,2022.5.15 14:00 Kick Off,晴,全面良芝,"4,943人",24.3℃,43.7%,41.5%,31.0%,38.7%,54.7%,48.5%,9.89,8.44,1.07,0.37,6.24,4.11,88.98,13.00,0.40,0.569,11,(9.1%),3,0,373,(71.8%),16,(12.5%),9,1,4,28,(60.7%),8,(50.0%),19,(63.2%),34,0,1,0,0,26,7,120,9.2%,42.5%
第17節,ＦＣ町田ゼルビア,ザスパクサツ群馬,2,0,0,0,2022.5.22 14:00 Kick Off,晴のち曇,全面良芝,"2,449人",25.2℃,51.9%,65.1%,50.1%,51.1%,64.0%,57.1%,11.27,11.02,0.00,0.25,1.50,0.00,46.59,10.70,0.25,0.273,3,(0.0%),1,0,490,(78.8%),18,(0.0%),12,1,9,30,(80.0%),6,(33.3%),10,(30.0%),17,2,0,0,0,34,4,111,2.7%,56.5%
第18節,ザスパクサツ群馬,ロアッソ熊本,2,3,1,0,2022.5.25 19:00 Kick Off,曇,全面良芝,"1,324人",23.3℃,50.4%,51.4%,49.6%,40.9%,52.2%,53.7%,14.07,11.72,1.42,0.93,6.76,10.06,57.31,11.90,0.56,0.904,11,(18.2%),3,0,457,(74.2%),24,(16.7%),11,0,5,36,(69.4%),10,(60.0%),8,(75.0%),17,2,0,1,0,31,10,121,9.1%,50%
第19節,ザスパクサツ群馬,大分トリニータ,0,1,1,0,2022.5.29 18:00 Kick Off,晴,全面良芝,"2,243人",28.9℃,43.2%,38.3%,37.3%,53.8%,51.2%,45.1%,13.70,9.84,3.26,0.60,11.18,0.00,76.31,18.40,0.39,0.967,11,(0.0%),7,0,452,(75.4%),18,(33.3%),8,0,4,28,(85.7%),10,(40.0%),14,(57.1%),21,2,1,2,0,31,11,129,8.5%,43.8%
