Round,Hteam,Ateam,Hscore,Ascore,HorA,WorL,Date,Wether,Grass_condition,Spectators,temperature,TimeLine1,TimeLine2,TimeLine3,TimeLine4,TimeLine5,TimeLine6,Attack_CBP,Pass_CBP,Cross_CBP,Dribble_CBP,Shots_CBP,Score_CBP,Seizure,Diffence,Save_CBP,Expect_Goal,Shots,Shots_Success,On_Target,PK,Pass,Pass_Success,Cross,Cross_Success,D_FK,I_FK,CK,Throwing,Throwing_Success,Dribble,Dribble_Success,Tackle,Tackle_Success,Clear,Intercept,OffSide,Yellow,Red,Approach_30m,Approach_Penalty,Attack_Num,Chances,Control
第15節,東京ヴェルディ,ジェフユナイテッド千葉,1,1,0,1,2019.5.25 15:00 Kick Off,晴,全面良芝,"8,545人",28.2℃,50.1%,52.0%,38.3%,38.8%,55.4%,50.9%,19.25,13.58,4.48,1.19,11.56,1.23,72.19,9.91,1.01,2.252,19,(5.3%),7,0,503,(84.3%),21,(38.1%),4,7,3,15,(80.0%),13,(46.2%),17,(58.8%),27,2,1,0,0,47,18,97,19.6%,47.3%
第16節,ジェフユナイテッド千葉,Ｖ・ファーレン長崎,1,4,1,0,2019.6.2 16:00 Kick Off,曇,全面良芝,"8,291人",24.8℃,51.5%,68.3%,64.8%,61.5%,69.0%,71.7%,23.24,17.22,2.71,3.31,12.16,0.31,63.46,9.57,0.00,2.067,19,(5.3%),8,1,575,(83.0%),31,(16.1%),14,4,14,18,(94.4%),20,(65.0%),20,(45.0%),20,1,1,2,0,63,12,118,16.1%,65.1%
第17節,栃木ＳＣ,ジェフユナイテッド千葉,0,0,0,1,2019.6.9 14:00 Kick Off,曇,全面良芝,"5,663人",22℃,65.7%,69.6%,60.6%,59.2%,65.0%,66.6%,22.62,19.11,1.12,2.38,3.33,0.00,69.16,16.26,0.10,0.868,9,(0.0%),2,0,647,(80.5%),25,(8.0%),16,4,5,24,(95.8%),20,(50.0%),15,(66.7%),23,2,0,2,0,56,12,126,7.1%,64.3%
第18節,ジェフユナイテッド千葉,鹿児島ユナイテッドＦＣ,2,1,1,3,2019.6.15 18:00 Kick Off,雨のち曇,全面良芝,"5,885人",20℃,59.0%,54.2%,60.9%,57.4%,39.0%,43.5%,24.16,17.01,4.91,2.24,20.46,5.91,107.91,15.62,0.49,2.689,23,(8.7%),10,0,480,(78.3%),20,(45.0%),13,5,4,19,(63.2%),16,(50.0%),26,(80.8%),30,0,4,1,0,50,25,130,17.7%,53.2%
第19節,柏レイソル,ジェフユナイテッド千葉,2,0,0,0,2019.6.22 19:00 Kick Off,曇一時雨,全面良芝,"12,016人",22.3℃,37.1%,56.3%,37.6%,44.4%,67.3%,52.0%,11.45,9.53,1.09,0.82,1.33,0.00,59.73,11.82,1.02,0.242,3,(0.0%),0,0,404,(78.2%),12,(16.7%),15,2,1,21,(85.7%),6,(66.7%),20,(65.0%),23,0,2,5,0,30,7,113,2.7%,50.2%
第20節,ジェフユナイテッド千葉,ＦＣ町田ゼルビア,1,2,1,0,2019.6.29 18:00 Kick Off,曇一時雨,全面良芝,"8,691人",22.5℃,51.4%,56.6%,61.3%,55.3%,55.4%,52.6%,9.75,7.34,1.65,0.76,5.01,2.62,80.66,18.51,1.00,0.836,10,(10.0%),2,0,395,(57.2%),11,(27.3%),16,5,5,51,(84.3%),7,(71.4%),40,(55.0%),34,1,4,1,0,17,8,156,6.4%,55.1%
第21節,徳島ヴォルティス,ジェフユナイテッド千葉,1,1,0,1,2019.7.7 18:00 Kick Off,晴,全面良芝,"4,951人",27.4℃,32.7%,27.4%,26.0%,25.1%,19.4%,39.3%,4.70,4.01,0.49,0.20,3.91,0.31,44.98,16.20,0.43,1.267,5,(20.0%),2,1,195,(62.6%),6,(16.7%),11,3,2,22,(72.7%),8,(37.5%),20,(40.0%),36,3,0,2,0,11,4,93,5.4%,28.4%
第22節,ＦＣ岐阜,ジェフユナイテッド千葉,2,2,0,1,2019.7.14 18:00 Kick Off,雨,全面良芝,"7,079人",25℃,64.6%,58.8%,66.4%,57.2%,68.6%,60.5%,26.84,18.94,4.39,3.52,11.11,5.22,74.38,9.38,0.34,3.616,22,(9.1%),4,0,642,(81.3%),41,(22.0%),10,2,11,22,(95.5%),19,(63.2%),20,(65.0%),17,1,3,1,0,60,23,121,18.2%,62.2%
第23節,ジェフユナイテッド千葉,アビスパ福岡,3,0,1,3,2019.7.20 18:00 Kick Off,曇,全面良芝,"8,541人",26.6℃,67.1%,62.6%,50.6%,34.3%,34.3%,45.0%,14.91,10.71,3.32,0.88,10.16,10.01,79.76,14.36,0.16,1.908,17,(17.6%),9,0,437,(79.4%),13,(46.2%),6,4,7,20,(80.0%),9,(44.4%),13,(76.9%),23,5,3,0,0,37,12,105,16.2%,49.8%
第24節,ジェフユナイテッド千葉,横浜ＦＣ,1,3,1,0,2019.7.27 18:00 Kick Off,晴,全面良芝,"10,313人",28.8℃,40.2%,27.9%,53.3%,44.4%,67.6%,57.4%,10.89,9.15,1.02,0.72,4.79,3.51,67.59,10.66,0.53,0.607,11,(9.1%),4,0,416,(80.0%),16,(12.5%),14,5,5,15,(80.0%),8,(37.5%),25,(64.0%),18,5,3,2,0,28,6,102,10.8%,47.6%
第25節,ＦＣ琉球,ジェフユナイテッド千葉,0,2,0,3,2019.7.31 19:00 Kick Off,曇のち晴,全面良芝,"3,705人",30.1℃,49.5%,49.1%,61.8%,35.4%,41.6%,37.8%,11.91,9.84,1.07,0.99,3.87,6.38,70.30,11.22,0.48,0.694,9,(22.2%),3,0,381,(77.4%),13,(15.4%),13,2,2,20,(95.0%),8,(62.5%),13,(76.9%),19,0,1,2,0,29,7,102,8.8%,45.9%
第26節,鹿児島ユナイテッドＦＣ,ジェフユナイテッド千葉,2,1,0,0,2019.8.4 19:00 Kick Off,晴,全面良芝,"5,591人",30.6℃,61.6%,45.2%,49.0%,43.1%,53.0%,55.6%,18.09,13.56,4.18,0.35,6.25,2.61,68.12,10.61,0.26,1.932,12,(8.3%),3,0,474,(79.1%),20,(40.0%),6,5,8,23,(87.0%),8,(25.0%),27,(55.6%),17,0,0,3,0,38,11,112,10.7%,51.6%
第27節,ジェフユナイテッド千葉,愛媛ＦＣ,2,3,1,0,2019.8.10 18:00 Kick Off,晴,全面良芝,"11,229人",30.2℃,53.5%,50.4%,54.3%,43.1%,54.3%,51.5%,17.38,14.04,2.07,1.27,13.05,3.21,67.90,14.79,0.51,2.499,19,(10.5%),8,1,514,(85.0%),14,(28.6%),11,2,2,24,(87.5%),8,(75.0%),12,(50.0%),24,0,2,2,0,35,13,102,18.6%,51.5%
