Round,Hteam,Ateam,Hscore,Ascore,HorA,WorL,Date,Wether,Grass_condition,Spectators,temperature,TimeLine1,TimeLine2,TimeLine3,TimeLine4,TimeLine5,TimeLine6,Attack_CBP,Pass_CBP,Cross_CBP,Dribble_CBP,Shots_CBP,Score_CBP,Seizure,Diffence,Save_CBP,Expect_Goal,Shots,Shots_Success,On_Target,PK,Pass,Pass_Success,Cross,Cross_Success,D_FK,I_FK,CK,Throwing,Throwing_Success,Dribble,Dribble_Success,Tackle,Tackle_Success,Clear,Intercept,OffSide,Yellow,Red,Approach_30m,Approach_Penalty,Attack_Num,Chances,Control
第19節,アビスパ福岡,ＦＣ町田ゼルビア,2,1,0,0,2020.9.13 18:00 Kick Off,晴,全面良芝,"2,539人",23.9℃,56.4%,57.1%,56.9%,68.5%,72.8%,72.5%,18.17,14.42,2.60,1.14,2.60,2.60,98.01,9.77,0.00,1.052,12,(8.3%),2,0,566,(80.4%),18,(27.8%),12,0,3,30,(96.7%),8,(62.5%),18,(88.9%),16,1,0,3,0,46,13,122,9.8%,64.7%
第20節,ＦＣ町田ゼルビア,大宮アルディージャ,0,0,1,1,2020.9.20 17:00 Kick Off,曇,全面良芝,"1,184人",22℃,47.9%,40.6%,46.3%,34.7%,33.8%,39.2%,10.26,8.44,0.56,1.26,5.69,0.00,64.23,15.60,0.39,1.028,11,(0.0%),1,0,347,(72.9%),5,(20.0%),17,0,3,21,(81.0%),8,(50.0%),18,(72.2%),28,1,2,1,0,29,9,106,10.4%,41.2%
第21節,ＦＣ町田ゼルビア,Ｖ・ファーレン長崎,1,1,1,1,2020.9.23 19:00 Kick Off,雨,全面良芝,545人,19.5℃,43.2%,45.4%,38.3%,37.7%,25.9%,32.6%,13.84,10.84,2.26,0.74,4.69,0.00,79.68,19.64,0.26,1.003,8,(0.0%),4,0,392,(76.3%),12,(33.3%),13,0,4,15,(93.3%),6,(66.7%),24,(45.8%),25,3,1,1,0,42,15,106,7.5%,37.9%
第22節,栃木ＳＣ,ＦＣ町田ゼルビア,2,0,0,0,2020.9.27 18:00 Kick Off,晴,全面良芝,"2,203人",20.3℃,50.6%,54.4%,60.8%,76.5%,77.3%,60.0%,13.23,12.53,0.56,0.14,0.00,0.00,79.61,19.01,0.05,1.154,9,(0.0%),0,0,587,(73.3%),6,(16.7%),10,2,6,26,(92.3%),3,(66.7%),13,(92.3%),25,2,2,1,0,21,5,135,6.7%,63.5%
第23節,ＦＣ町田ゼルビア,ギラヴァンツ北九州,1,1,1,1,2020.9.30 19:00 Kick Off,晴,全面良芝,718人,20.5℃,42.8%,57.3%,29.2%,32.4%,33.3%,36.4%,14.50,12.18,0.94,1.38,10.96,0.31,101.39,17.94,0.97,1.72,14,(7.1%),6,1,345,(68.1%),12,(25.0%),7,1,4,24,(83.3%),11,(54.5%),18,(72.2%),22,3,2,0,0,38,16,123,11.4%,37.1%
第24節,アルビレックス新潟,ＦＣ町田ゼルビア,4,0,0,0,2020.10.4 14:00 Kick Off,曇,全面良芝,"8,369人",25℃,40.8%,29.5%,47.4%,37.3%,36.8%,44.5%,10.94,10.13,0.50,0.31,1.37,0.00,73.68,11.66,0.08,0.248,2,(0.0%),0,0,372,(68.0%),10,(10.0%),8,1,3,25,(96.0%),10,(30.0%),24,(62.5%),9,2,0,3,0,38,5,116,1.7%,40%
第25節,ＦＣ町田ゼルビア,ツエーゲン金沢,2,2,1,1,2020.10.11 14:00 Kick Off,曇,全面良芝,"1,209人",23.7℃,48.4%,36.0%,44.5%,57.5%,46.8%,40.5%,19.60,15.25,2.75,1.60,8.21,8.00,80.43,20.52,0.13,1.133,15,(13.3%),5,0,421,(72.2%),9,(55.6%),5,0,4,21,(76.2%),11,(54.5%),15,(73.3%),37,1,1,0,0,39,10,128,11.7%,45.6%
第26節,ＦＣ町田ゼルビア,京都サンガF.C.,3,0,1,3,2020.10.14 19:00 Kick Off,曇,全面良芝,712人,20.3℃,37.2%,45.8%,34.7%,28.1%,30.1%,32.3%,8.24,7.06,1.18,0.00,10.66,9.92,97.93,20.25,0.00,0.964,13,(15.4%),6,0,289,(67.1%),7,(28.6%),15,0,0,15,(66.7%),6,(0.0%),32,(71.9%),34,4,3,1,0,23,7,107,12.1%,34.8%
第27節,ジェフユナイテッド千葉,ＦＣ町田ゼルビア,0,0,0,1,2020.10.17 15:00 Kick Off,雨,全面良芝,"1,758人",13.7℃,37.9%,53.6%,45.9%,34.6%,40.5%,44.3%,7.95,7.66,0.00,0.29,3.43,0.00,83.17,15.71,0.60,0.326,4,(0.0%),2,0,365,(70.1%),3,(0.0%),11,2,0,30,(90.0%),3,(66.7%),18,(50.0%),34,0,0,1,0,22,4,116,3.4%,42.7%
第28節,ＦＣ町田ゼルビア,アビスパ福岡,0,0,1,1,2020.10.21 19:00 Kick Off,晴,全面良芝,"1,008人",13.1℃,66.2%,39.7%,51.6%,54.4%,45.7%,33.1%,8.24,7.81,0.00,0.43,8.30,0.00,87.83,23.43,0.00,0.375,7,(0.0%),4,0,366,(67.8%),4,(0.0%),9,3,6,22,(77.3%),6,(33.3%),14,(78.6%),43,1,2,2,0,22,8,129,5.4%,47.7%
