Round,Hteam,Ateam,Hscore,Ascore,HorA,WorL,Date,Wether,Grass_condition,Spectators,temperature,TimeLine1,TimeLine2,TimeLine3,TimeLine4,TimeLine5,TimeLine6,Attack_CBP,Pass_CBP,Cross_CBP,Dribble_CBP,Shots_CBP,Score_CBP,Seizure,Diffence,Save_CBP,Expect_Goal,Shots,Shots_Success,On_Target,PK,Pass,Pass_Success,Cross,Cross_Success,D_FK,I_FK,CK,Throwing,Throwing_Success,Dribble,Dribble_Success,Tackle,Tackle_Success,Clear,Intercept,OffSide,Yellow,Red,Approach_30m,Approach_Penalty,Attack_Num,Chances,Control
第26節,ファジアーノ岡山,徳島ヴォルティス,1,1,1,1,2020.10.14 19:00 Kick Off,晴,全面良芝,"1,778人",19℃,48.4%,45.4%,44.1%,45.0%,52.9%,59.9%,19.40,15.18,2.75,1.47,5.49,2.61,97.22,11.37,1.22,1.539,15,(6.7%),3,0,480,(80.0%),14,(35.7%),10,1,1,17,(76.5%),12,(50.0%),27,(70.4%),21,2,2,0,0,51,12,107,14.0%,49.2%
第27節,ファジアーノ岡山,大宮アルディージャ,3,2,1,3,2020.10.18 14:00 Kick Off,晴,全面良芝,"3,594人",19.9℃,59.0%,47.8%,50.7%,62.4%,45.5%,31.0%,14.17,11.41,1.07,1.69,13.86,10.83,53.99,14.63,1.07,1.646,18,(16.7%),8,0,428,(78.3%),11,(18.2%),10,0,7,20,(90.0%),9,(66.7%),11,(72.7%),22,0,0,2,0,38,12,113,15.9%,49.6%
第28節,アルビレックス新潟,ファジアーノ岡山,1,1,0,1,2020.10.21 19:00 Kick Off,曇,全面良芝,"4,793人",16.9℃,40.4%,33.3%,34.6%,25.0%,54.1%,39.4%,7.86,6.98,0.54,0.34,5.08,3.30,104.27,16.78,0.56,0.647,7,(14.3%),4,0,305,(67.5%),6,(16.7%),10,0,3,15,(80.0%),3,(66.7%),21,(57.1%),19,0,0,2,0,17,4,111,6.3%,36.4%
第29節,ツエーゲン金沢,ファジアーノ岡山,0,0,0,1,2020.10.24 14:33 Kick Off,雨のち曇,全面良芝,"1,045人",16.6℃,58.0%,55.1%,68.5%,48.0%,42.1%,43.4%,15.05,12.24,1.04,1.76,5.99,0.00,83.48,15.02,0.73,0.856,10,(0.0%),4,0,463,(74.7%),14,(14.3%),10,1,3,21,(76.2%),13,(46.2%),16,(50.0%),19,0,2,0,0,47,12,126,7.9%,52.5%
第30節,ファジアーノ岡山,ジェフユナイテッド千葉,3,2,1,3,2020.11.1 14:00 Kick Off,晴,全面良芝,"4,585人",22.1℃,46.7%,48.7%,47.3%,41.9%,43.6%,49.5%,11.30,9.54,1.07,0.69,5.14,6.22,69.37,14.09,0.15,1.445,8,(37.5%),4,1,359,(76.6%),10,(20.0%),12,4,0,24,(70.8%),6,(33.3%),24,(54.2%),21,0,1,1,0,25,7,104,7.7%,46.5%
第31節,京都サンガF.C.,ファジアーノ岡山,2,1,0,0,2020.11.4 19:00 Kick Off,晴,全面良芝,"2,307人",9.6℃,58.8%,46.2%,56.2%,60.9%,57.6%,76.6%,18.34,15.71,2.15,0.48,5.05,2.61,83.74,10.75,0.25,1.244,12,(8.3%),4,0,658,(84.0%),19,(21.1%),7,0,7,24,(83.3%),11,(54.5%),19,(68.4%),10,1,1,0,0,52,9,112,10.7%,60.3%
第32節,ファジアーノ岡山,ＦＣ町田ゼルビア,1,0,1,3,2020.11.8 14:00 Kick Off,晴,全面良芝,"3,463人",22.5℃,53.1%,45.0%,62.2%,56.7%,47.7%,55.2%,13.74,9.83,2.75,1.16,6.42,5.97,99.22,12.15,0.38,0.796,11,(9.1%),3,0,409,(68.2%),17,(29.4%),13,2,2,38,(84.2%),12,(50.0%),13,(76.9%),16,1,1,1,0,30,10,149,7.4%,54.1%
第33節,Ｖ・ファーレン長崎,ファジアーノ岡山,5,0,0,0,2020.11.11 19:00 Kick Off,晴,全面良芝,"3,252人",15℃,36.1%,34.2%,43.4%,60.3%,58.2%,48.3%,14.50,13.31,0.98,0.21,2.27,0.00,93.31,12.98,0.45,0.29,4,(0.0%),1,0,512,(83.2%),9,(22.2%),10,1,3,13,(76.9%),9,(33.3%),19,(68.4%),24,2,1,1,0,38,8,105,3.8%,46.7%
第34節,ファジアーノ岡山,ジュビロ磐田,1,1,1,1,2020.11.15 13:00 Kick Off,晴,全面良芝,"6,968人",18.5℃,39.0%,40.5%,52.0%,38.6%,47.7%,34.6%,10.79,9.12,1.08,0.58,5.18,2.96,76.34,11.44,0.12,0.887,9,(11.1%),3,0,342,(71.6%),9,(22.2%),7,2,6,24,(62.5%),9,(55.6%),15,(53.3%),18,3,2,0,0,27,6,109,8.3%,41.1%
第35節,松本山雅ＦＣ,ファジアーノ岡山,1,0,0,0,2020.11.21 15:00 Kick Off,晴,全面良芝,"6,228人",11.1℃,57.1%,47.6%,67.7%,56.4%,67.8%,56.2%,15.01,13.44,1.57,0.00,6.53,0.00,115.06,8.04,0.18,1.111,16,(0.0%),3,0,567,(75.7%),16,(18.8%),9,2,4,27,(81.5%),5,(0.0%),23,(82.6%),12,0,1,1,0,34,12,135,11.9%,58.6%
