Round,Hteam,Ateam,Hscore,Ascore,HorA,WorL,Date,Wether,Grass_condition,Spectators,temperature,TimeLine1,TimeLine2,TimeLine3,TimeLine4,TimeLine5,TimeLine6,Attack_CBP,Pass_CBP,Cross_CBP,Dribble_CBP,Shots_CBP,Score_CBP,Seizure,Diffence,Save_CBP,Expect_Goal,Shots,Shots_Success,On_Target,PK,Pass,Pass_Success,Cross,Cross_Success,D_FK,I_FK,CK,Throwing,Throwing_Success,Dribble,Dribble_Success,Tackle,Tackle_Success,Clear,Intercept,OffSide,Yellow,Red,Approach_30m,Approach_Penalty,Attack_Num,Chances,Control
第29節,徳島ヴォルティス,ＦＣ琉球,6,1,0,0,2019.8.24 19:00 Kick Off,曇,全面良芝,"4,567人",25.4℃,48.4%,47.3%,59.1%,40.6%,36.2%,42.8%,16.14,12.66,1.16,2.32,2.24,5.06,45.75,9.28,0.12,0.607,9,(11.1%),2,0,475,(86.3%),13,(15.4%),13,0,2,8,(100.0%),11,(81.8%),9,(66.7%),8,0,0,1,0,38,8,82,11.0%,46.7%
第30節,ＦＣ琉球,ＦＣ岐阜,1,2,1,0,2019.8.31 19:00 Kick Off,晴,全面良芝,"6,163人",29.7℃,50.2%,68.6%,61.2%,65.7%,69.0%,69.1%,30.07,24.23,3.14,2.70,13.50,3.18,63.56,6.26,0.00,1.926,25,(4.0%),6,0,650,(84.8%),38,(15.8%),11,3,9,24,(91.7%),19,(63.2%),14,(57.1%),7,0,0,0,0,87,21,115,21.7%,63.5%
第31節,ＦＣ琉球,鹿児島ユナイテッドＦＣ,2,1,1,3,2019.9.7 19:00 Kick Off,曇時々雨,全面良芝,"2,683人",27.8℃,49.0%,50.4%,55.3%,35.4%,29.7%,35.5%,15.28,11.98,1.96,1.34,11.24,7.54,117.13,18.06,0.08,1.377,17,(11.8%),8,0,386,(78.2%),15,(26.7%),13,1,8,18,(66.7%),10,(50.0%),34,(67.6%),32,6,1,0,0,43,13,118,14.4%,43.2%
第32節,ツエーゲン金沢,ＦＣ琉球,2,2,0,1,2019.9.14 18:00 Kick Off,晴,全面良芝,"13,070人",27.8℃,59.0%,50.1%,58.4%,58.2%,49.6%,59.1%,16.61,14.11,0.51,1.99,7.04,6.19,67.80,15.04,1.60,0.814,13,(15.4%),5,0,501,(78.4%),8,(12.5%),16,3,3,25,(88.0%),14,(64.3%),16,(62.5%),18,2,2,2,0,37,12,129,10.1%,56.3%
第33節,ＦＣ琉球,モンテディオ山形,3,3,1,1,2019.9.23 19:00 Kick Off,曇,全面良芝,"3,086人",27.1℃,53.1%,58.2%,29.2%,49.1%,55.5%,63.3%,16.24,15.09,0.00,1.15,9.58,6.93,66.81,16.12,0.50,1.702,11,(27.3%),6,1,507,(81.3%),9,(0.0%),6,1,4,16,(56.3%),8,(62.5%),16,(62.5%),20,1,0,3,0,44,13,106,10.4%,51.1%
第34節,ＦＣ町田ゼルビア,ＦＣ琉球,0,0,0,1,2019.9.29 16:00 Kick Off,晴,全面良芝,"3,848人",27.1℃,51.7%,50.0%,48.7%,46.2%,53.8%,54.7%,9.58,7.54,0.45,1.59,3.63,0.00,76.67,15.47,0.40,1.043,9,(0.0%),1,0,367,(61.9%),19,(5.3%),12,2,7,40,(75.0%),14,(42.9%),21,(81.0%),27,1,2,2,0,24,11,136,6.6%,51.1%
第35節,アビスパ福岡,ＦＣ琉球,0,1,0,3,2019.10.5 16:05 Kick Off,晴,全面良芝,"5,015人",26.4℃,62.4%,37.0%,48.3%,50.4%,44.7%,56.6%,17.40,15.70,0.00,1.70,2.48,2.61,80.51,13.29,0.97,1.248,9,(11.1%),2,0,532,(80.8%),8,(0.0%),13,2,4,19,(100.0%),13,(38.5%),12,(58.3%),20,3,1,1,0,35,9,109,8.3%,49.6%
第36節,ＦＣ琉球,東京ヴェルディ,1,5,1,0,2019.10.12 18:00 Kick Off,曇,全面良芝,"4,806人",26.7℃,59.6%,46.8%,51.7%,52.9%,56.5%,56.5%,21.44,15.49,3.14,2.81,7.11,5.09,78.17,8.42,0.11,1.116,12,(8.3%),3,0,571,(84.8%),24,(25.0%),4,1,7,21,(90.5%),16,(62.5%),19,(63.2%),11,3,3,0,0,60,14,110,10.9%,54.1%
第37節,栃木ＳＣ,ＦＣ琉球,0,2,0,3,2019.10.20 14:00 Kick Off,曇,良芝,"6,255人",23℃,54.7%,72.2%,69.0%,68.2%,64.2%,62.9%,13.80,12.73,0.00,1.07,7.25,7.05,79.29,20.79,0.12,0.306,6,(33.3%),4,0,597,(76.2%),6,(0.0%),13,1,0,39,(71.8%),7,(42.9%),10,(60.0%),42,2,1,1,0,25,5,138,4.3%,65.4%
第38節,ＦＣ琉球,大宮アルディージャ,2,3,1,0,2019.10.27 13:00 Kick Off,曇のち雨,全面良芝,"8,002人",26.3℃,48.9%,52.5%,63.0%,64.0%,74.3%,58.5%,15.00,14.07,0.60,0.34,5.68,6.02,53.54,18.67,0.93,0.966,11,(18.2%),5,0,566,(85.9%),11,(9.1%),8,2,2,21,(71.4%),4,(50.0%),18,(44.4%),32,3,1,2,0,36,12,104,10.6%,60.3%
