Round,Hteam,Ateam,Hscore,Ascore,HorA,WorL,Date,Wether,Grass_condition,Spectators,temperature,TimeLine1,TimeLine2,TimeLine3,TimeLine4,TimeLine5,TimeLine6,Attack_CBP,Pass_CBP,Cross_CBP,Dribble_CBP,Shots_CBP,Score_CBP,Seizure,Diffence,Save_CBP,Expect_Goal,Shots,Shots_Success,On_Target,PK,Pass,Pass_Success,Cross,Cross_Success,D_FK,I_FK,CK,Throwing,Throwing_Success,Dribble,Dribble_Success,Tackle,Tackle_Success,Clear,Intercept,OffSide,Yellow,Red,Approach_30m,Approach_Penalty,Attack_Num,Chances,Control
第41節,東京ヴェルディ,徳島ヴォルティス,1,2,1,0,2019.11.16 15:00 Kick Off,晴,全面良芝,"7,770人",17.8℃,58.8%,62.6%,55.8%,50.4%,64.5%,60.2%,29.94,26.53,2.61,0.79,6.30,3.01,60.86,8.17,0.04,0.931,13,(7.7%),4,0,732,(87.3%),20,(25.0%),9,2,4,19,(94.7%),10,(50.0%),17,(64.7%),10,4,1,2,0,82,14,87,14.9%,58.6%
第42節,東京ヴェルディ,ＦＣ岐阜,5,1,1,3,2019.11.24 14:00 Kick Off,曇,全面良芝,"6,559人",19.5℃,62.2%,66.6%,54.1%,59.1%,68.8%,51.7%,34.97,31.26,1.74,1.98,13.55,14.72,96.35,9.84,0.51,2.376,19,(26.3%),9,0,764,(87.3%),30,(10.0%),8,0,6,17,(100.0%),9,(66.7%),15,(66.7%),13,4,3,0,0,89,34,117,16.2%,60.2%
第1節,徳島ヴォルティス,東京ヴェルディ,3,0,0,0,2020.2.23 14:00 Kick Off,晴,全面良芝,"9,033人",12.4℃,60.1%,59.5%,51.2%,64.8%,56.9%,57.5%,17.08,16.43,0.54,0.11,7.20,0.00,81.60,13.15,0.94,0.702,9,(0.0%),5,0,722,(87.5%),11,(9.1%),13,2,2,14,(100.0%),4,(50.0%),20,(75.0%),17,4,0,1,0,39,6,106,8.5%,58.2%
第2節,東京ヴェルディ,ＦＣ町田ゼルビア,1,1,1,1,2020.6.27 18:00 Kick Off,曇,全面良芝,0人,24.1℃,77.8%,75.6%,79.9%,73.3%,72.3%,65.5%,27.32,23.47,2.17,1.68,4.98,0.31,85.50,9.75,0.19,1.792,8,(12.5%),3,1,914,(89.2%),13,(30.8%),12,0,9,20,(95.0%),16,(31.3%),15,(86.7%),17,2,2,0,0,55,14,115,7.0%,74.4%
第3節,栃木ＳＣ,東京ヴェルディ,1,1,0,1,2020.7.5 19:00 Kick Off,曇,良芝,0人,22.4℃,70.5%,58.3%,80.1%,78.6%,73.0%,64.3%,18.15,17.43,0.54,0.19,4.63,5.97,51.65,15.21,0.30,0.228,5,(20.0%),2,0,748,(89.4%),7,(14.3%),19,1,3,14,(92.9%),4,(25.0%),13,(38.5%),26,2,0,0,1,43,8,98,5.1%,71.5%
第4節,大宮アルディージャ,東京ヴェルディ,1,0,0,0,2020.7.11 19:00 Kick Off,曇,全面良芝,"2,271人",26.4℃,68.0%,62.5%,70.3%,75.6%,62.1%,77.0%,23.85,22.45,0.47,0.93,3.53,0.00,51.47,8.22,0.02,0.644,9,(0.0%),2,0,892,(89.7%),13,(7.7%),7,1,7,28,(100.0%),9,(44.4%),8,(100.0%),13,1,1,1,0,68,7,97,9.3%,70.3%
第5節,東京ヴェルディ,ヴァンフォーレ甲府,4,2,1,3,2020.7.15 19:00 Kick Off,雨のち曇,全面良芝,"1,346人",19.6℃,57.2%,63.6%,49.5%,62.5%,56.2%,49.3%,21.63,18.27,0.61,2.75,13.42,12.12,93.22,12.67,0.15,1.485,17,(23.5%),8,0,629,(85.9%),13,(7.7%),10,4,2,17,(94.1%),14,(57.1%),14,(85.7%),16,4,3,0,0,54,15,114,14.9%,55.9%
第6節,ジェフユナイテッド千葉,東京ヴェルディ,1,2,0,3,2020.7.18 19:00 Kick Off,雨のち曇,全面良芝,"2,698人",22.8℃,70.1%,59.4%,64.0%,54.8%,68.7%,55.7%,17.11,16.27,0.48,0.36,7.45,2.96,43.53,13.66,0.27,1.494,14,(14.3%),4,1,544,(82.4%),6,(33.3%),12,2,3,27,(81.5%),6,(33.3%),11,(36.4%),23,0,1,1,0,48,11,102,13.7%,61.2%
第7節,東京ヴェルディ,モンテディオ山形,0,0,1,1,2020.7.25 18:00 Kick Off,曇,全面良芝,"2,072人",24.6℃,72.7%,79.4%,66.1%,69.8%,58.4%,63.4%,20.19,18.44,0.50,1.25,6.00,0.00,73.29,11.20,0.87,0.709,12,(0.0%),2,0,758,(87.3%),10,(10.0%),11,1,6,25,(92.0%),10,(60.0%),10,(100.0%),19,1,3,1,0,38,15,106,11.3%,69%
第8節,東京ヴェルディ,アルビレックス新潟,1,1,1,1,2020.7.29 19:00 Kick Off,曇,全面良芝,"1,512人",23.3℃,59.1%,60.9%,46.0%,60.4%,56.3%,44.4%,13.29,12.14,0.64,0.51,3.65,2.93,76.56,13.77,0.70,0.796,7,(14.3%),3,0,558,(79.7%),12,(8.3%),12,4,4,18,(94.4%),7,(42.9%),10,(70.0%),22,2,4,1,0,37,6,109,6.4%,53.1%
第9節,Ｖ・ファーレン長崎,東京ヴェルディ,0,0,0,1,2020.8.2 18:00 Kick Off,晴,全面良芝,"3,131人",28.3℃,60.3%,60.5%,64.4%,59.7%,56.2%,58.0%,23.36,20.27,1.58,1.52,4.44,0.00,71.08,11.78,0.20,0.606,9,(0.0%),1,0,684,(88.0%),15,(20.0%),11,3,4,25,(96.0%),10,(40.0%),11,(81.8%),20,5,2,2,0,66,12,101,8.9%,59.9%
第10節,東京ヴェルディ,ＦＣ琉球,0,1,1,0,2020.8.8 18:00 Kick Off,晴,全面良芝,"2,281人",29.7℃,53.8%,42.4%,46.7%,52.5%,53.4%,65.5%,21.70,18.59,2.01,1.10,6.58,0.00,69.09,11.18,0.26,1.076,13,(0.0%),3,0,593,(84.3%),13,(30.8%),7,1,3,13,(100.0%),7,(57.1%),16,(81.3%),15,1,0,2,0,44,18,93,14.0%,52.1%
第11節,アビスパ福岡,東京ヴェルディ,1,3,0,3,2020.8.12 19:00 Kick Off,晴,全面良芝,"2,655人",30.9℃,59.2%,45.5%,65.4%,40.0%,54.1%,44.3%,12.03,9.38,1.04,1.61,7.60,8.63,62.74,17.81,0.34,1.117,7,(42.9%),6,0,424,(76.2%),9,(22.2%),16,0,2,24,(79.2%),6,(66.7%),23,(52.2%),30,2,2,0,0,26,8,104,6.7%,51.9%
第12節,水戸ホーリーホック,東京ヴェルディ,0,2,0,3,2020.8.16 19:00 Kick Off,晴,全面良芝,"1,731人",27.5℃,57.0%,55.7%,57.0%,57.9%,52.0%,45.5%,18.74,15.62,2.22,0.91,8.06,7.89,82.17,18.53,0.34,1.423,14,(14.3%),5,0,553,(83.2%),13,(30.8%),11,3,3,25,(88.0%),8,(50.0%),23,(69.6%),29,1,0,3,0,28,14,126,11.1%,53.8%
第13節,東京ヴェルディ,松本山雅ＦＣ,3,0,1,3,2020.8.19 19:00 Kick Off,晴,全面良芝,"2,175人",27.9℃,71.6%,68.4%,67.8%,52.9%,71.8%,75.5%,24.40,22.43,1.17,0.81,6.11,10.75,99.53,9.27,0.14,0.703,8,(37.5%),4,0,768,(86.7%),10,(20.0%),9,2,8,21,(100.0%),11,(36.4%),17,(76.5%),15,3,2,1,0,60,14,117,6.8%,68.9%
第14節,ギラヴァンツ北九州,東京ヴェルディ,2,1,0,0,2020.8.23 19:00 Kick Off,晴,全面良芝,"2,834人",28.8℃,46.2%,27.7%,35.4%,57.0%,44.9%,47.5%,13.24,12.77,0.00,0.47,4.80,0.00,84.60,12.10,0.57,0.315,7,(0.0%),3,0,398,(75.6%),3,(0.0%),8,1,4,29,(89.7%),12,(33.3%),16,(56.3%),22,3,1,2,0,34,9,123,5.7%,42.6%
第15節,東京ヴェルディ,京都サンガF.C.,2,0,1,3,2020.8.29 18:00 Kick Off,晴,全面良芝,"2,432人",29.2℃,63.1%,52.0%,65.7%,45.6%,36.2%,52.9%,20.12,18.83,0.53,0.76,6.15,6.01,57.39,15.52,0.10,0.982,9,(22.2%),4,0,640,(83.8%),6,(16.7%),9,2,3,23,(95.7%),5,(60.0%),14,(71.4%),26,4,1,0,0,49,14,110,8.2%,53.2%
