Round,Hteam,Ateam,Hscore,Ascore,HorA,WorL,Date,Wether,Grass_condition,Spectators,temperature,TimeLine1,TimeLine2,TimeLine3,TimeLine4,TimeLine5,TimeLine6,Attack_CBP,Pass_CBP,Cross_CBP,Dribble_CBP,Shots_CBP,Score_CBP,Seizure,Diffence,Save_CBP,Expect_Goal,Shots,Shots_Success,On_Target,PK,Pass,Pass_Success,Cross,Cross_Success,D_FK,I_FK,CK,Throwing,Throwing_Success,Dribble,Dribble_Success,Tackle,Tackle_Success,Clear,Intercept,OffSide,Yellow,Red,Approach_30m,Approach_Penalty,Attack_Num,Chances,Control
第10節,大分トリニータ,横浜Ｆ・マリノス,1,0,1,3,2020.8.15 18:30 Kick Off,晴,全面良芝,"4,311人",31℃,52.3%,36.5%,50.2%,33.3%,42.1%,37.3%,11.69,7.52,2.61,1.56,3.84,2.92,95.98,15.65,0.17,0.985,8,(12.5%),2,0,396,(77.3%),14,(35.7%),8,1,3,29,(89.7%),10,(60.0%),23,(65.2%),21,3,3,1,0,26,8,123,6.5%,42%
第11節,北海道コンサドーレ札幌,大分トリニータ,1,1,0,1,2020.8.19 19:30 Kick Off,晴,全面良芝,"2,039人",24.4℃,42.3%,55.0%,52.4%,37.1%,39.3%,39.9%,8.29,6.43,0.99,0.87,6.35,2.66,94.68,22.11,0.77,1.401,7,(14.3%),5,0,431,(77.3%),7,(28.6%),6,0,3,17,(82.4%),3,(66.7%),20,(65.0%),36,3,0,0,0,19,4,100,7.0%,44.3%
第12節,大分トリニータ,柏レイソル,0,0,1,1,2020.8.23 19:00 Kick Off,屋内,全面良芝,"4,004人",28.8℃,50.1%,55.6%,50.0%,63.6%,61.6%,51.2%,16.92,11.84,4.26,0.82,5.13,0.00,47.93,16.77,0.81,1.483,10,(0.0%),2,0,531,(82.7%),22,(36.4%),8,2,3,24,(91.7%),4,(75.0%),17,(70.6%),32,1,2,1,0,44,11,99,10.1%,54.6%
第13節,浦和レッズ,大分トリニータ,2,1,0,0,2020.8.29 19:00 Kick Off,晴,全面良芝,"4,316人",30.6℃,42.5%,28.1%,57.1%,64.6%,52.0%,58.8%,19.37,15.41,3.51,0.45,7.24,2.63,68.48,11.36,0.31,2.074,17,(5.9%),3,0,559,(85.9%),24,(29.2%),8,2,3,19,(94.7%),7,(28.6%),5,(80.0%),18,3,1,0,0,55,19,98,17.3%,51.1%
第14節,大分トリニータ,ＦＣ東京,0,1,1,0,2020.9.5 18:30 Kick Off,曇,全面良芝,"4,518人",26.8℃,58.3%,38.3%,69.3%,60.8%,61.3%,66.1%,15.79,15.79,0.00,0.00,1.23,0.00,63.91,9.91,0.27,0.218,2,(0.0%),1,0,701,(83.3%),13,(0.0%),15,2,1,20,(95.0%),1,(0.0%),13,(69.2%),16,1,0,1,0,50,6,112,1.8%,59.8%
第15節,大分トリニータ,湘南ベルマーレ,2,2,1,1,2020.9.9 19:00 Kick Off,晴,全面良芝,"3,465人",25.3℃,47.9%,65.5%,75.5%,59.8%,69.7%,78.5%,24.30,20.13,2.61,1.56,6.62,4.21,95.26,8.11,0.04,1.121,16,(12.5%),5,0,781,(83.7%),26,(19.2%),9,1,7,28,(100.0%),9,(66.7%),20,(55.0%),12,1,2,1,0,62,17,122,13.1%,67.1%
第16節,ベガルタ仙台,大分トリニータ,0,3,0,3,2020.9.13 18:00 Kick Off,曇のち雨,全面良芝,"2,191人",20.8℃,67.2%,69.6%,74.1%,31.3%,38.9%,44.6%,17.01,13.09,3.20,0.72,7.32,7.98,78.44,13.31,0.10,1.939,14,(21.4%),6,0,531,(82.1%),21,(28.6%),10,1,9,17,(88.2%),9,(44.4%),19,(68.4%),34,2,1,0,0,47,13,104,13.5%,55.4%
第24節,ＦＣ東京,大分トリニータ,2,3,0,3,2020.9.16 19:00 Kick Off,曇,全面良芝,"4,782人",25.8℃,59.9%,67.5%,58.0%,41.5%,50.1%,40.6%,13.80,10.63,2.23,0.94,8.49,10.42,89.23,16.23,1.05,1.675,13,(23.1%),5,0,502,(83.5%),14,(28.6%),11,1,4,7,(100.0%),7,(71.4%),21,(81.0%),27,0,3,0,0,32,10,105,12.4%,53.3%
第17節,大分トリニータ,横浜ＦＣ,1,0,1,3,2020.9.20 18:00 Kick Off,曇,全面良芝,"6,105人",22.2℃,46.7%,61.6%,62.1%,43.9%,45.9%,32.7%,12.45,9.94,1.65,0.87,6.22,3.42,88.75,12.73,0.64,2.222,11,(9.1%),3,1,505,(78.2%),12,(25.0%),13,1,3,20,(85.0%),6,(66.7%),21,(57.1%),27,1,2,2,0,38,11,121,9.1%,47.7%
第18節,大分トリニータ,サンフレッチェ広島,0,2,1,0,2020.9.23 19:00 Kick Off,曇,全面良芝,"4,247人",23.9℃,48.3%,51.7%,52.6%,57.8%,46.0%,53.1%,11.56,11.16,0.40,0.00,1.19,0.00,79.72,12.55,0.00,0.299,6,(0.0%),1,0,622,(85.2%),7,(14.3%),6,1,4,10,(100.0%),5,(0.0%),16,(62.5%),7,1,2,0,0,29,7,88,6.8%,52%
第19節,鹿島アントラーズ,大分トリニータ,0,2,0,3,2020.9.27 17:00 Kick Off,晴,全面良芝,"6,982人",19.9℃,38.6%,54.5%,48.7%,49.9%,40.8%,42.0%,9.92,8.26,0.94,0.72,3.31,8.01,81.19,23.24,0.62,0.394,5,(40.0%),2,0,456,(75.9%),17,(11.8%),13,1,4,18,(94.4%),5,(60.0%),24,(79.2%),41,0,0,2,0,22,5,118,4.2%,45.7%
第20節,大分トリニータ,清水エスパルス,2,1,1,3,2020.10.3 19:00 Kick Off,曇,全面良芝,"6,885人",23.4℃,51.3%,61.7%,32.3%,46.9%,69.0%,44.8%,16.88,12.77,3.70,0.41,8.48,3.84,101.13,11.61,0.20,2.172,10,(20.0%),5,0,619,(85.9%),15,(46.7%),13,0,2,17,(88.2%),5,(40.0%),19,(57.9%),14,2,3,0,0,30,13,100,10.0%,49.6%
第21節,横浜Ｆ・マリノス,大分トリニータ,4,0,0,0,2020.10.10 16:00 Kick Off,雨,全面良芝,"3,675人",17℃,51.4%,52.7%,61.2%,49.3%,55.0%,56.4%,15.92,13.76,1.86,0.30,1.09,0.00,96.67,13.62,0.47,0.326,5,(0.0%),0,0,673,(82.6%),19,(21.1%),15,2,2,28,(92.9%),7,(28.6%),17,(70.6%),16,4,3,1,0,38,6,134,3.7%,54.4%
第22節,ヴィッセル神戸,大分トリニータ,1,1,0,1,2020.10.14 19:00 Kick Off,曇,全面良芝,"7,417人",20.3℃,30.8%,51.1%,49.3%,59.4%,42.1%,59.9%,14.25,9.53,2.76,1.96,6.43,0.00,94.42,9.79,0.14,1.563,13,(0.0%),5,0,547,(79.2%),17,(29.4%),9,1,5,38,(94.7%),13,(61.5%),23,(87.0%),20,1,1,0,0,35,10,120,10.8%,48.8%
第23節,大分トリニータ,ガンバ大阪,0,1,1,0,2020.10.18 14:00 Kick Off,晴,全面良芝,"8,570人",20℃,56.8%,39.9%,41.0%,58.1%,60.1%,68.0%,16.14,13.03,1.53,1.57,8.31,0.00,103.35,14.65,0.94,1.471,12,(0.0%),1,0,613,(81.7%),25,(12.0%),9,2,11,21,(95.2%),9,(44.4%),21,(76.2%),25,2,0,0,0,54,12,129,9.3%,53.9%
第25節,大分トリニータ,浦和レッズ,0,0,1,1,2020.10.31 14:00 Kick Off,晴,全面良芝,"7,397人",18.3℃,44.3%,61.6%,50.2%,53.6%,61.0%,44.5%,14.50,11.01,2.67,0.81,8.23,0.00,112.34,16.18,0.20,2.03,16,(0.0%),7,0,490,(79.6%),14,(35.7%),7,2,5,19,(94.7%),7,(42.9%),20,(70.0%),25,0,0,0,0,34,10,116,13.8%,51.1%
第26節,横浜ＦＣ,大分トリニータ,2,3,0,3,2020.11.3 16:00 Kick Off,晴,全面良芝,"3,704人",16.9℃,37.6%,47.0%,51.5%,56.0%,64.1%,79.5%,19.56,15.76,2.66,1.14,6.93,8.59,54.01,6.09,0.36,1.523,17,(17.6%),4,0,558,(83.3%),31,(16.1%),3,0,13,19,(100.0%),8,(75.0%),15,(53.3%),12,1,1,0,0,53,17,90,18.9%,54.7%
第28節,大分トリニータ,川崎フロンターレ,1,0,1,3,2020.11.21 14:00 Kick Off,晴,全面良芝,"9,820人",16.6℃,68.9%,46.3%,69.4%,49.7%,35.6%,31.2%,17.02,13.99,2.08,0.96,9.83,0.32,96.97,16.23,0.16,1.979,12,(8.3%),6,1,531,(82.1%),16,(25.0%),7,2,7,11,(90.9%),8,(75.0%),16,(62.5%),26,1,1,0,0,37,15,102,11.8%,50.7%
第29節,大分トリニータ,セレッソ大阪,0,1,1,0,2020.11.25 19:00 Kick Off,晴,全面良芝,"3,861人",14.7℃,59.6%,57.7%,63.1%,71.1%,71.6%,65.5%,21.40,18.94,2.08,0.38,8.96,0.00,73.05,9.16,0.02,0.867,9,(0.0%),5,0,802,(89.4%),19,(21.1%),2,2,4,14,(100.0%),3,(33.3%),20,(65.0%),13,2,0,0,0,63,9,86,10.5%,64.8%
第30節,名古屋グランパス,大分トリニータ,0,0,0,1,2020.11.28 14:00 Kick Off,晴,全面良芝,"9,085人",14.1℃,33.3%,61.0%,54.3%,50.9%,67.6%,50.3%,14.91,12.03,2.61,0.27,2.38,0.00,102.31,14.73,0.24,1.295,12,(0.0%),2,0,540,(80.9%),14,(35.7%),6,1,3,30,(93.3%),4,(25.0%),16,(87.5%),24,3,2,2,0,34,11,115,10.4%,52.3%
第31節,大分トリニータ,ベガルタ仙台,0,2,1,0,2020.12.6 14:00 Kick Off,晴,全面良芝,"6,289人",13.5℃,72.7%,75.7%,62.3%,74.3%,74.8%,67.6%,16.49,15.32,0.00,1.17,4.46,0.00,102.31,7.85,0.30,0.513,7,(0.0%),1,0,743,(83.8%),25,(0.0%),5,2,10,14,(92.9%),11,(54.5%),10,(70.0%),8,6,1,2,0,62,13,114,6.1%,70.7%
第27節,柏レイソル,大分トリニータ,1,1,0,1,2020.12.9 19:00 Kick Off,晴,全面良芝,"2,412人",8.7℃,68.2%,62.4%,49.9%,59.3%,58.2%,57.5%,13.74,11.84,0.98,0.92,3.71,5.72,81.28,16.68,0.41,0.736,7,(14.3%),3,0,636,(79.4%),17,(11.8%),12,2,4,29,(86.2%),8,(75.0%),15,(66.7%),21,2,2,3,0,31,6,118,5.9%,59%
第32節,大分トリニータ,北海道コンサドーレ札幌,1,1,1,1,2020.12.12 15:00 Kick Off,晴,全面良芝,"6,120人",12.4℃,43.0%,50.7%,43.5%,41.1%,28.8%,52.9%,10.22,8.44,1.15,0.63,7.05,2.92,90.55,18.38,0.35,1.26,9,(11.1%),4,0,418,(74.4%),9,(22.2%),5,3,4,21,(90.5%),5,(40.0%),15,(60.0%),27,2,2,1,0,29,8,118,7.6%,44.1%
第33節,湘南ベルマーレ,大分トリニータ,1,2,0,3,2020.12.16 19:00 Kick Off,晴,全面良芝,"4,517人",5.2℃,42.2%,51.9%,73.5%,44.8%,53.7%,42.4%,14.48,12.42,0.56,1.51,5.29,4.53,94.76,13.70,1.06,1.872,13,(15.4%),3,0,516,(81.2%),7,(14.3%),11,2,2,17,(88.2%),8,(62.5%),18,(55.6%),30,2,2,1,0,30,10,110,11.8%,52.1%
第34節,サガン鳥栖,大分トリニータ,2,2,0,1,2020.12.19 14:00 Kick Off,晴,全面良芝,"8,966人",16.8℃,30.2%,51.8%,33.6%,41.1%,50.8%,42.2%,11.44,9.06,1.57,0.81,8.18,6.15,69.93,14.98,1.69,1.08,14,(14.3%),4,0,385,(74.3%),10,(30.0%),8,3,6,18,(88.9%),9,(33.3%),11,(54.5%),23,1,2,2,0,31,13,103,13.6%,40.5%
第1節,大分トリニータ,徳島ヴォルティス,1,1,1,1,2021.2.27 14:00 Kick Off,曇,全面良芝,"7,012人",10.5℃,27.7%,31.3%,46.0%,60.6%,32.3%,32.8%,8.78,6.79,1.12,0.87,3.45,3.16,93.51,18.91,0.02,0.924,10,(10.0%),2,0,384,(76.6%),13,(15.4%),5,0,4,21,(42.9%),7,(57.1%),19,(78.9%),33,4,0,0,0,21,6,106,9.4%,37.4%
第2節,横浜ＦＣ,大分トリニータ,1,2,0,3,2021.3.6 15:00 Kick Off,晴,全面良芝,"4,422人",19.4℃,57.7%,38.4%,51.1%,63.8%,37.7%,47.1%,11.75,9.63,1.46,0.66,3.62,6.11,83.17,16.75,1.17,0.743,7,(28.6%),3,0,479,(80.0%),13,(23.1%),10,3,2,21,(81.0%),4,(75.0%),15,(73.3%),33,1,0,0,0,29,11,116,6.0%,49.1%
第4節,大分トリニータ,ＦＣ東京,1,1,1,1,2021.3.14 15:00 Kick Off,屋内,全面良芝,"9,590人",15.3℃,56.5%,46.9%,63.1%,44.7%,76.2%,47.7%,12.53,10.37,2.03,0.13,3.83,2.64,66.68,17.62,0.24,1.089,10,(10.0%),1,0,627,(83.6%),12,(33.3%),5,1,4,22,(86.4%),6,(16.7%),15,(53.3%),30,0,0,0,0,21,8,105,9.5%,55.8%
第5節,セレッソ大阪,大分トリニータ,1,0,0,0,2021.3.17 19:00 Kick Off,晴,全面良芝,"5,230人",9.7℃,51.6%,41.7%,47.1%,45.0%,46.0%,60.9%,13.80,12.19,0.51,1.10,2.08,0.00,91.36,13.71,0.04,0.24,5,(0.0%),1,0,573,(82.0%),15,(6.7%),10,2,3,28,(50.0%),6,(50.0%),17,(64.7%),25,0,2,1,0,30,5,122,4.1%,49.3%
第6節,大分トリニータ,サンフレッチェ広島,1,3,1,0,2021.3.21 14:00 Kick Off,屋内,全面良芝,"6,231人",15.2℃,34.6%,58.3%,49.3%,41.9%,43.2%,35.3%,9.35,8.74,0.50,0.10,4.94,2.65,66.01,16.84,0.22,0.584,8,(12.5%),3,0,486,(82.1%),11,(9.1%),9,3,1,11,(63.6%),4,(25.0%),16,(43.8%),24,2,2,0,0,26,7,99,8.1%,44%
第7節,川崎フロンターレ,大分トリニータ,2,0,0,0,2021.4.3 19:00 Kick Off,曇,全面良芝,"9,810人",18.5℃,37.4%,49.5%,54.2%,52.4%,48.2%,63.2%,13.12,11.21,1.16,0.75,2.37,0.00,63.65,14.26,0.53,0.394,5,(0.0%),0,0,642,(86.3%),16,(12.5%),6,2,1,29,(75.9%),8,(50.0%),23,(47.8%),26,0,0,0,0,27,4,104,4.8%,52%
第8節,ヴィッセル神戸,大分トリニータ,1,0,0,0,2021.4.7 19:00 Kick Off,屋内,全面良芝,"5,180人",17.6℃,27.6%,55.8%,71.0%,45.1%,42.6%,56.2%,13.30,12.20,0.59,0.51,0.00,0.00,81.81,7.85,0.04,0.295,5,(0.0%),0,0,642,(85.2%),8,(12.5%),9,1,1,29,(93.1%),5,(20.0%),24,(58.3%),4,1,1,0,0,28,3,104,4.8%,50.6%
第9節,大分トリニータ,名古屋グランパス,0,3,1,0,2021.4.11 15:00 Kick Off,晴,全面良芝,"5,919人",17.1℃,58.7%,30.9%,44.7%,65.2%,71.5%,59.4%,15.26,13.94,1.03,0.29,3.32,0.00,78.89,10.94,0.14,0.435,9,(0.0%),2,0,679,(84.4%),16,(12.5%),3,0,7,16,(93.8%),4,(25.0%),16,(75.0%),19,0,1,1,0,43,9,96,9.4%,55.3%
第10節,大分トリニータ,柏レイソル,0,1,1,0,2021.4.17 14:00 Kick Off,屋内,全面良芝,"5,237人",19.6℃,62.3%,60.7%,58.3%,53.6%,43.6%,67.4%,14.44,12.46,1.12,0.85,4.66,0.00,66.49,10.34,2.71,1.705,8,(0.0%),2,1,605,(83.1%),14,(14.3%),5,1,5,22,(90.9%),6,(50.0%),11,(63.6%),21,0,1,1,0,35,6,102,7.8%,58.2%
第11節,浦和レッズ,大分トリニータ,3,2,0,0,2021.4.25 16:00 Kick Off,曇,全面良芝,"9,270人",22.9℃,41.0%,48.2%,33.3%,33.9%,20.4%,42.0%,13.67,12.07,1.07,0.52,9.05,5.81,117.86,14.77,0.78,1.923,16,(12.5%),6,0,426,(78.6%),14,(14.3%),4,0,6,12,(91.7%),4,(25.0%),23,(78.3%),22,4,0,1,0,41,11,108,14.8%,36.5%
第12節,大分トリニータ,清水エスパルス,1,0,1,3,2021.5.2 14:00 Kick Off,屋内,全面良芝,"7,246人",13.9℃,50.3%,46.3%,49.6%,44.6%,37.1%,41.4%,12.15,9.84,2.19,0.12,4.90,1.20,97.32,15.97,0.25,1.142,7,(14.3%),4,0,504,(80.4%),13,(30.8%),9,1,3,14,(100.0%),3,(33.3%),12,(66.7%),21,1,2,0,0,29,5,105,6.7%,45.4%
第13節,湘南ベルマーレ,大分トリニータ,2,0,0,0,2021.5.9 15:00 Kick Off,晴,全面良芝,"4,943人",26.9℃,52.5%,55.3%,62.0%,58.2%,56.9%,65.6%,14.30,13.20,0.55,0.55,2.58,0.00,87.06,14.86,0.43,0.601,4,(0.0%),2,0,627,(77.2%),16,(6.3%),7,1,2,29,(86.2%),8,(62.5%),25,(72.0%),21,2,1,1,0,32,8,125,3.2%,58.8%
