Round,Hteam,Ateam,Hscore,Ascore,HorA,WorL,Date,Wether,Grass_condition,Spectators,temperature,TimeLine1,TimeLine2,TimeLine3,TimeLine4,TimeLine5,TimeLine6,Attack_CBP,Pass_CBP,Cross_CBP,Dribble_CBP,Shots_CBP,Score_CBP,Seizure,Diffence,Save_CBP,Expect_Goal,Shots,Shots_Success,On_Target,PK,Pass,Pass_Success,Cross,Cross_Success,D_FK,I_FK,CK,Throwing,Throwing_Success,Dribble,Dribble_Success,Tackle,Tackle_Success,Clear,Intercept,OffSide,Yellow,Red,Approach_30m,Approach_Penalty,Attack_Num,Chances,Control
第20節,モンテディオ山形,柏レイソル,0,1,1,0,2019.6.29 19:00 Kick Off,雨,全面良芝,"8,117人",20.2℃,40.2%,45.9%,43.7%,50.2%,55.1%,66.5%,11.52,10.19,0.00,1.33,3.46,0.00,64.57,16.96,0.21,0.444,9,(0.0%),2,0,421,(76.2%),13,(0.0%),15,2,7,28,(82.1%),15,(40.0%),16,(75.0%),15,4,1,2,0,32,5,127,7.1%,51.3%
第21節,愛媛ＦＣ,モンテディオ山形,0,0,0,1,2019.7.7 19:00 Kick Off,晴,全面良芝,"2,681人",23.2℃,41.0%,41.3%,39.9%,39.8%,53.9%,47.7%,12.52,10.26,1.24,1.02,1.27,0.00,72.54,14.62,0.19,0.647,7,(0.0%),1,0,454,(78.2%),13,(15.4%),12,0,4,23,(82.6%),5,(60.0%),23,(56.5%),16,1,2,2,0,29,5,112,6.3%,43.7%
第22節,モンテディオ山形,京都サンガF.C.,0,1,1,0,2019.7.13 19:00 Kick Off,曇,全面良芝,"6,890人",25.5℃,28.5%,58.9%,45.2%,41.7%,42.4%,44.2%,17.00,14.01,2.66,0.34,7.10,0.00,80.77,9.28,1.07,0.819,10,(0.0%),3,0,466,(77.3%),24,(20.8%),14,3,7,24,(91.7%),9,(33.3%),14,(78.6%),10,3,3,0,0,51,12,126,7.9%,43.4%
第23節,ファジアーノ岡山,モンテディオ山形,1,0,0,0,2019.7.21 19:00 Kick Off,曇,全面良芝,"9,728人",27.5℃,54.3%,39.7%,41.3%,36.7%,57.9%,63.8%,16.02,13.90,0.54,1.58,3.70,0.00,57.98,12.17,0.10,0.686,9,(0.0%),2,0,432,(76.9%),14,(7.1%),14,3,4,27,(77.8%),9,(77.8%),16,(50.0%),17,2,2,3,0,47,8,106,8.5%,50.3%
第24節,モンテディオ山形,徳島ヴォルティス,3,1,1,3,2019.7.27 19:00 Kick Off,雨のち曇,全面良芝,"6,026人",27.7℃,61.5%,44.5%,56.5%,72.4%,56.4%,29.3%,17.57,14.20,2.13,1.23,7.88,5.56,58.49,6.49,0.09,1.77,11,(27.3%),4,1,524,(85.7%),16,(25.0%),11,1,4,22,(90.9%),8,(62.5%),12,(66.7%),10,1,0,2,0,44,10,92,12.0%,53.1%
第25節,モンテディオ山形,アビスパ福岡,1,2,1,0,2019.7.31 19:30 Kick Off,晴,全面良芝,"6,012人",29.9℃,51.2%,48.8%,61.3%,72.3%,69.1%,72.1%,26.64,21.52,3.51,1.62,5.22,3.68,67.55,10.62,0.86,1.835,16,(6.3%),4,0,674,(84.7%),22,(31.8%),9,1,5,23,(95.7%),12,(75.0%),11,(72.7%),11,0,4,1,0,57,16,120,13.3%,63.3%
第26節,大宮アルディージャ,モンテディオ山形,3,2,0,0,2019.8.4 19:00 Kick Off,晴,全面良芝,"11,678人",30.8℃,42.8%,46.0%,54.7%,43.9%,56.7%,67.4%,14.99,12.75,0.58,1.66,5.68,6.25,61.18,11.84,0.41,1.183,9,(22.2%),4,0,458,(77.9%),13,(7.7%),20,1,2,32,(90.6%),19,(42.1%),20,(50.0%),14,1,4,1,0,47,9,127,7.1%,53.7%
第27節,モンテディオ山形,アルビレックス新潟,2,0,1,3,2019.8.11 19:00 Kick Off,晴,全面良芝,"18,721人",27.3℃,43.8%,46.3%,41.3%,33.8%,34.0%,28.5%,7.99,6.74,1.05,0.20,5.90,3.95,88.31,17.70,0.33,1.164,9,(22.2%),4,0,245,(62.9%),6,(33.3%),12,4,4,26,(65.4%),8,(12.5%),30,(66.7%),39,6,1,1,0,20,7,126,7.1%,37.1%
第28節,東京ヴェルディ,モンテディオ山形,0,0,0,1,2019.8.18 19:00 Kick Off,曇,全面良芝,"6,239人",29.6℃,24.3%,20.2%,30.9%,28.4%,35.1%,45.7%,12.12,9.78,1.11,1.22,9.21,0.00,37.11,11.13,0.00,0.794,14,(0.0%),5,0,282,(73.4%),14,(14.3%),9,8,4,13,(69.2%),10,(50.0%),14,(57.1%),17,3,2,0,0,34,12,83,16.9%,31.6%
第29節,モンテディオ山形,栃木ＳＣ,2,0,1,3,2019.8.24 19:00 Kick Off,曇,良芝,"6,490人",24℃,36.0%,36.6%,28.7%,60.3%,53.1%,52.6%,12.79,9.74,1.53,1.52,3.94,6.27,85.34,14.87,0.10,1.183,11,(18.2%),3,0,361,(67.6%),12,(25.0%),19,2,6,28,(75.0%),11,(63.6%),12,(83.3%),26,1,4,1,0,24,11,131,8.4%,45.1%
第30節,モンテディオ山形,横浜ＦＣ,0,0,1,1,2019.8.31 19:00 Kick Off,晴,全面良芝,"11,789人",23.2℃,24.0%,40.6%,27.7%,43.4%,35.4%,47.5%,7.20,6.36,0.49,0.36,0.00,0.00,56.89,12.89,0.79,0.792,4,(0.0%),0,0,307,(75.9%),9,(11.1%),18,4,1,18,(72.2%),10,(30.0%),9,(66.7%),19,0,1,0,0,22,5,95,4.2%,36%
第31節,柏レイソル,モンテディオ山形,3,4,0,3,2019.9.7 19:00 Kick Off,晴,全面良芝,"10,745人",28.4℃,32.1%,43.6%,32.3%,47.3%,34.5%,37.0%,7.39,5.83,0.45,1.11,7.44,10.75,69.69,20.35,0.89,1.236,10,(40.0%),5,0,231,(63.2%),6,(16.7%),21,5,3,18,(77.8%),15,(33.3%),22,(68.2%),40,3,1,0,0,15,7,130,7.7%,37.6%
第32節,鹿児島ユナイテッドＦＣ,モンテディオ山形,0,3,0,3,2019.9.15 19:00 Kick Off,晴,良芝,"6,545人",25.4℃,31.1%,32.7%,49.3%,45.2%,31.5%,34.1%,9.91,7.51,1.03,1.37,6.12,9.49,104.03,20.35,0.00,0.507,7,(42.9%),4,0,352,(72.2%),11,(18.2%),14,0,2,16,(62.5%),14,(42.9%),26,(53.8%),31,5,1,1,0,28,5,121,5.8%,37.6%
第33節,ＦＣ琉球,モンテディオ山形,3,3,0,1,2019.9.23 19:00 Kick Off,曇,全面良芝,"3,086人",27.1℃,46.9%,41.8%,70.8%,50.9%,44.5%,36.7%,18.97,14.77,1.66,2.55,8.46,4.43,57.30,14.47,0.26,1.894,12,(16.7%),7,1,496,(79.4%),21,(14.3%),10,0,4,19,(89.5%),16,(56.3%),13,(69.2%),19,1,1,1,0,47,10,114,10.5%,48.9%
第34節,モンテディオ山形,ヴァンフォーレ甲府,0,1,1,0,2019.9.29 14:00 Kick Off,曇一時雨,全面良芝,"8,079人",25.1℃,59.1%,54.1%,65.8%,50.8%,48.2%,45.6%,13.86,11.29,1.90,0.67,3.76,0.00,67.75,19.88,0.17,1.044,12,(0.0%),1,0,435,(70.8%),21,(19.0%),12,2,2,37,(86.5%),15,(33.3%),14,(42.9%),32,4,1,0,0,36,9,138,8.7%,54.1%
第35節,ジェフユナイテッド千葉,モンテディオ山形,1,4,0,3,2019.10.6 15:00 Kick Off,晴,全面良芝,"9,852人",20.9℃,36.2%,50.3%,48.0%,34.0%,26.6%,44.5%,11.49,9.08,1.58,0.83,13.16,10.65,82.12,16.47,0.34,2.093,16,(25.0%),11,0,277,(71.5%),13,(23.1%),18,0,4,23,(73.9%),9,(66.7%),21,(81.0%),28,2,4,2,0,24,9,115,13.9%,40.4%
第36節,モンテディオ山形,ＦＣ岐阜,2,0,1,3,2019.10.14 14:00 Kick Off,曇時々雨,全面良芝,"5,415人",15.3℃,67.8%,59.8%,48.1%,52.2%,42.3%,39.4%,21.15,14.12,3.37,3.66,12.12,7.50,68.97,13.10,0.00,2.2,15,(13.3%),7,1,490,(73.1%),18,(33.3%),11,2,5,27,(88.9%),18,(61.1%),14,(71.4%),17,1,2,1,0,47,22,130,11.5%,51.4%
