Round,Hteam,Ateam,Hscore,Ascore,HorA,WorL,Date,Wether,Grass_condition,Spectators,temperature,TimeLine1,TimeLine2,TimeLine3,TimeLine4,TimeLine5,TimeLine6,Attack_CBP,Pass_CBP,Cross_CBP,Dribble_CBP,Shots_CBP,Score_CBP,Seizure,Diffence,Save_CBP,Expect_Goal,Shots,Shots_Success,On_Target,PK,Pass,Pass_Success,Cross,Cross_Success,D_FK,I_FK,CK,Throwing,Throwing_Success,Dribble,Dribble_Success,Tackle,Tackle_Success,Clear,Intercept,OffSide,Yellow,Red,Approach_30m,Approach_Penalty,Attack_Num,Chances,Control
第30節,レノファ山口ＦＣ,ファジアーノ岡山,1,2,1,0,2019.9.1 19:00 Kick Off,曇のち雨,良芝,"4,476人",22.9℃,63.0%,60.0%,57.7%,62.9%,60.4%,62.5%,20.48,14.22,4.62,1.64,8.00,1.30,81.84,10.20,1.23,1.366,16,(6.3%),4,0,594,(78.1%),25,(36.0%),15,5,5,39,(97.4%),14,(64.3%),11,(63.6%),18,1,1,1,0,51,17,130,12.3%,61.1%
第31節,東京ヴェルディ,レノファ山口ＦＣ,4,0,0,0,2019.9.8 16:00 Kick Off,晴のち曇,全面良芝,"2,331人",31.3℃,38.1%,60.4%,53.1%,50.3%,53.5%,52.7%,22.79,18.49,2.76,1.54,10.45,0.00,82.43,8.99,0.26,2.526,17,(0.0%),7,0,511,(79.3%),27,(18.5%),5,3,9,18,(100.0%),15,(46.7%),17,(82.4%),13,5,2,3,0,57,16,116,14.7%,51.8%
第32節,レノファ山口ＦＣ,愛媛ＦＣ,2,1,1,3,2019.9.14 19:00 Kick Off,晴,全面良芝,"4,674人",25.5℃,67.0%,63.9%,59.9%,48.6%,24.4%,38.7%,14.86,14.06,0.57,0.23,7.37,6.38,78.36,17.18,0.12,0.573,9,(22.2%),2,0,557,(83.1%),8,(12.5%),18,0,3,23,(87.0%),6,(33.3%),20,(80.0%),19,0,2,1,0,31,6,114,7.9%,51.8%
第33節,ツエーゲン金沢,レノファ山口ＦＣ,1,0,0,0,2019.9.21 19:00 Kick Off,曇一時雨,全面良芝,"3,263人",20.9℃,56.3%,59.2%,58.1%,52.7%,65.9%,68.6%,19.91,16.52,2.25,1.14,2.20,0.00,77.48,14.55,0.48,1.026,10,(0.0%),2,0,600,(80.0%),19,(21.1%),22,1,8,33,(93.9%),16,(50.0%),18,(72.2%),25,1,1,1,0,45,12,144,6.9%,60.4%
第34節,レノファ山口ＦＣ,アビスパ福岡,2,0,1,3,2019.9.28 19:00 Kick Off,曇,全面良芝,"5,822人",24.9℃,61.9%,53.7%,56.4%,53.5%,53.7%,62.1%,19.39,17.80,0.63,0.96,11.62,1.61,80.05,8.80,3.58,2.576,17,(11.8%),6,1,600,(84.5%),11,(9.1%),9,0,3,21,(100.0%),2,(100.0%),17,(58.8%),16,2,2,0,0,58,10,110,15.5%,57.5%
第35節,ＦＣ岐阜,レノファ山口ＦＣ,1,1,0,1,2019.10.6 19:00 Kick Off,曇,全面良芝,"5,214人",21.4℃,72.3%,66.3%,56.4%,69.7%,71.1%,71.5%,26.25,22.54,2.70,1.01,6.24,3.24,93.15,10.26,0.32,1.659,16,(6.3%),3,0,714,(77.9%),25,(20.0%),13,3,6,38,(100.0%),9,(66.7%),21,(71.4%),19,0,3,0,0,65,19,145,11.0%,68.3%
第36節,レノファ山口ＦＣ,京都サンガF.C.,1,0,1,3,2019.10.12 14:00 Kick Off,曇,全面良芝,"4,166人",23.8℃,39.2%,40.5%,27.7%,32.9%,48.3%,33.5%,8.11,6.39,1.59,0.13,4.67,3.24,105.70,18.24,0.14,1.005,8,(12.5%),3,0,345,(65.8%),10,(30.0%),14,0,1,18,(77.8%),8,(25.0%),22,(72.7%),31,3,2,1,0,25,9,119,6.7%,36.5%
第37節,鹿児島ユナイテッドＦＣ,レノファ山口ＦＣ,0,0,0,1,2019.10.20 13:00 Kick Off,晴,全面良芝,"5,646人",28.1℃,43.5%,62.2%,60.2%,51.9%,46.2%,56.0%,13.98,10.93,1.82,1.23,4.84,0.00,80.34,24.86,1.13,1.098,11,(0.0%),1,0,434,(74.0%),15,(20.0%),21,1,2,15,(93.3%),8,(75.0%),26,(61.5%),22,2,3,2,0,36,8,126,8.7%,53.7%
第38節,レノファ山口ＦＣ,ジェフユナイテッド千葉,3,2,1,3,2019.10.27 16:00 Kick Off,晴時々曇,全面良芝,"5,427人",18.7℃,49.7%,54.8%,55.3%,56.2%,55.9%,69.7%,16.69,13.09,2.24,1.36,7.66,10.58,95.17,12.71,0.60,1.286,17,(17.6%),6,0,524,(74.8%),20,(20.0%),18,2,6,30,(96.7%),12,(50.0%),21,(66.7%),20,0,2,1,0,41,13,146,11.6%,57%
第39節,レノファ山口ＦＣ,ＦＣ琉球,1,2,1,0,2019.11.3 16:00 Kick Off,曇,全面良芝,"6,099人",18℃,39.9%,52.6%,53.7%,56.9%,55.4%,54.5%,25.79,17.14,6.62,2.03,9.53,3.01,116.16,11.43,0.87,2.038,26,(3.8%),3,0,520,(78.3%),30,(40.0%),7,2,7,17,(88.2%),14,(64.3%),22,(72.7%),14,10,4,2,0,56,26,131,19.8%,52.2%
第40節,ＦＣ町田ゼルビア,レノファ山口ＦＣ,1,0,0,0,2019.11.10 14:00 Kick Off,晴,全面良芝,"3,749人",16.9℃,56.4%,59.8%,63.2%,63.2%,55.6%,62.0%,16.23,12.84,1.64,1.74,4.75,0.00,78.87,16.15,0.02,1.211,12,(0.0%),2,0,533,(70.7%),21,(14.3%),11,5,4,36,(97.2%),16,(50.0%),28,(64.3%),23,1,3,2,0,37,16,142,8.5%,60.7%
第41節,レノファ山口ＦＣ,モンテディオ山形,2,3,1,0,2019.11.16 13:00 Kick Off,晴,全面良芝,"6,117人",19.9℃,62.9%,40.4%,49.4%,52.6%,40.0%,49.2%,12.58,9.49,1.57,1.51,7.07,6.45,69.23,16.48,0.79,1.152,12,(16.7%),5,0,412,(75.5%),14,(21.4%),13,2,2,29,(89.7%),8,(50.0%),15,(73.3%),28,1,1,2,0,27,9,125,9.6%,48.8%
第42節,徳島ヴォルティス,レノファ山口ＦＣ,3,0,0,0,2019.11.24 14:00 Kick Off,曇,全面良芝,"9,326人",17.9℃,37.4%,30.2%,44.5%,46.4%,47.4%,66.9%,13.78,12.35,0.00,1.43,3.70,0.00,89.27,9.13,0.41,0.254,7,(0.0%),2,0,513,(80.9%),15,(0.0%),14,2,2,22,(86.4%),11,(45.5%),21,(52.4%),18,2,1,0,0,38,5,112,6.3%,46.9%
第1節,レノファ山口ＦＣ,京都サンガF.C.,1,0,1,3,2020.2.23 14:00 Kick Off,晴,全面良芝,"8,424人",13.7℃,49.6%,46.8%,45.0%,38.3%,47.4%,43.3%,8.17,7.27,0.47,0.42,5.98,7.09,113.69,22.05,1.05,0.691,10,(10.0%),4,0,342,(73.4%),9,(11.1%),11,4,1,11,(63.6%),6,(50.0%),30,(53.3%),37,0,2,1,0,24,4,122,8.2%,45.1%
第2節,ファジアーノ岡山,レノファ山口ＦＣ,2,2,0,1,2020.6.27 19:00 Kick Off,曇,全面良芝,0人,26.2℃,49.5%,44.5%,45.8%,53.6%,38.3%,46.0%,11.85,10.12,1.14,0.60,6.75,5.61,52.30,17.09,0.09,0.854,11,(18.2%),4,0,396,(76.3%),10,(20.0%),11,3,1,22,(86.4%),7,(57.1%),14,(85.7%),31,2,1,1,0,36,7,120,9.2%,46.6%
第3節,レノファ山口ＦＣ,愛媛ＦＣ,0,3,1,0,2020.7.5 19:00 Kick Off,曇時々雨,全面良芝,0人,23.7℃,39.2%,38.3%,47.8%,47.2%,51.9%,69.1%,16.46,13.03,2.72,0.70,10.25,0.00,67.42,9.02,0.25,1.356,16,(0.0%),5,0,443,(75.4%),22,(22.7%),14,1,5,26,(88.5%),6,(66.7%),10,(60.0%),4,1,4,1,0,33,17,121,13.2%,49%
第4節,ジュビロ磐田,レノファ山口ＦＣ,2,1,0,0,2020.7.11 19:00 Kick Off,曇,全面良芝,"2,302人",26.3℃,59.5%,71.4%,48.7%,52.2%,51.1%,39.8%,15.38,11.78,2.21,1.39,3.60,2.61,47.10,7.43,1.53,0.811,10,(10.0%),2,0,532,(85.5%),17,(23.5%),13,0,4,23,(87.0%),15,(53.3%),11,(81.8%),11,1,3,2,0,35,9,100,10.0%,53.4%
第5節,徳島ヴォルティス,レノファ山口ＦＣ,4,0,0,0,2020.7.15 19:00 Kick Off,曇,全面良芝,"1,513人",23.6℃,26.6%,43.6%,34.3%,38.4%,35.0%,28.4%,11.43,8.42,1.59,1.41,1.21,0.00,78.29,11.66,0.00,0.873,10,(0.0%),0,0,297,(75.8%),11,(27.3%),7,0,0,14,(64.3%),15,(53.3%),15,(73.3%),24,1,1,1,0,22,7,92,10.9%,33.8%
第6節,レノファ山口ＦＣ,ＦＣ琉球,4,1,1,3,2020.7.18 19:00 Kick Off,曇,全面良芝,"1,631人",25.2℃,42.7%,51.3%,33.0%,47.6%,36.2%,32.8%,12.31,9.01,2.20,1.10,11.66,10.81,74.46,20.61,0.36,1.821,16,(25.0%),5,0,351,(76.1%),11,(36.4%),11,1,7,15,(80.0%),12,(50.0%),16,(75.0%),28,1,2,3,0,33,12,103,15.5%,40.9%
