Round,Hteam,Ateam,Hscore,Ascore,HorA,WorL,Date,Wether,Grass_condition,Spectators,temperature,TimeLine1,TimeLine2,TimeLine3,TimeLine4,TimeLine5,TimeLine6,Attack_CBP,Pass_CBP,Cross_CBP,Dribble_CBP,Shots_CBP,Score_CBP,Seizure,Diffence,Save_CBP,Expect_Goal,Shots,Shots_Success,On_Target,PK,Pass,Pass_Success,Cross,Cross_Success,D_FK,I_FK,CK,Throwing,Throwing_Success,Dribble,Dribble_Success,Tackle,Tackle_Success,Clear,Intercept,OffSide,Yellow,Red,Approach_30m,Approach_Penalty,Attack_Num,Chances,Control
第26節,水戸ホーリーホック,ツエーゲン金沢,1,1,1,1,2022.7.10 18:00 Kick Off,晴,全面良芝,"3,525人",27.7℃,67.9%,60.2%,64.3%,46.1%,51.3%,60.4%,26.51,19.88,3.43,3.20,13.37,2.66,111.23,10.56,0.04,2.745,24,(4.2%),8,0,579,(81.2%),18,(33.3%),9,2,7,18,(77.8%),19,(57.9%),12,(75.0%),10,3,2,0,0,64,23,125,19.2%,59%
第27節,ヴァンフォーレ甲府,水戸ホーリーホック,1,1,0,1,2022.7.16 18:00 Kick Off,雨,全面良芝,"3,551人",25.2℃,56.4%,54.3%,55.5%,46.6%,56.5%,47.4%,19.48,15.32,2.78,1.38,10.48,1.31,86.37,11.89,0.12,1.12,11,(9.1%),4,0,583,(82.8%),19,(26.3%),6,1,4,25,(100.0%),11,(45.5%),12,(83.3%),13,0,1,1,0,42,8,115,9.6%,52.6%
第29節,水戸ホーリーホック,大宮アルディージャ,1,0,1,3,2022.7.30 18:00 Kick Off,晴,全面良芝,"3,396人",26.3℃,54.2%,52.4%,63.6%,52.4%,44.3%,44.7%,13.64,9.26,2.72,1.66,7.48,2.90,83.91,13.91,0.00,1.288,14,(7.1%),3,0,346,(73.4%),14,(35.7%),9,1,5,22,(68.2%),10,(50.0%),14,(78.6%),29,2,1,1,0,38,17,111,12.6%,51.3%
第30節,ブラウブリッツ秋田,水戸ホーリーホック,1,1,0,1,2022.8.7 18:00 Kick Off,曇,全面良芝,"2,188人",28.7℃,67.5%,59.3%,59.9%,50.6%,42.7%,38.8%,8.10,7.16,0.56,0.38,3.47,3.46,61.17,18.95,0.63,0.278,5,(20.0%),2,0,319,(70.8%),6,(16.7%),12,0,4,25,(84.0%),10,(20.0%),10,(40.0%),43,1,1,3,1,31,4,111,4.5%,52.5%
第32節,レノファ山口ＦＣ,水戸ホーリーホック,1,0,0,0,2022.8.20 19:00 Kick Off,雨,全面良芝,"3,663人",27.6℃,53.1%,52.1%,62.1%,61.9%,71.9%,65.8%,19.94,17.35,1.06,1.53,3.26,0.00,51.91,11.16,0.21,0.56,10,(0.0%),1,0,568,(81.9%),18,(11.1%),9,3,5,26,(92.3%),10,(70.0%),14,(57.1%),19,1,4,0,0,50,10,107,9.3%,61.7%
第28節,水戸ホーリーホック,大分トリニータ,2,0,1,3,2022.8.23 19:00 Kick Off,曇,全面良芝,"2,111人",28.9℃,30.8%,41.3%,35.9%,50.4%,33.7%,28.5%,8.53,6.33,1.07,1.12,7.03,6.62,76.50,15.70,0.20,0.973,13,(15.4%),5,0,266,(77.4%),5,(40.0%),5,1,3,14,(85.7%),13,(38.5%),17,(58.8%),33,2,6,0,0,22,8,101,12.9%,36%
第33節,水戸ホーリーホック,ＦＣ琉球,0,0,1,1,2022.8.27 18:00 Kick Off,晴,良芝,"3,126人",26.7℃,60.1%,65.5%,48.6%,67.1%,63.0%,61.3%,18.41,15.13,1.57,1.70,6.86,0.00,80.19,16.85,0.61,1.001,11,(0.0%),4,0,494,(78.3%),8,(37.5%),11,3,4,28,(92.9%),12,(66.7%),16,(62.5%),20,2,0,0,0,38,15,127,8.7%,60.1%
第34節,ベガルタ仙台,水戸ホーリーホック,1,2,0,3,2022.9.3 19:00 Kick Off,曇のち雨,全面良芝,"7,139人",23.2℃,50.2%,35.3%,43.7%,41.1%,44.4%,32.3%,8.46,6.98,1.04,0.44,7.16,6.91,64.34,14.29,1.34,1.034,14,(14.3%),2,0,300,(70.3%),7,(28.6%),12,0,5,21,(95.2%),5,(60.0%),17,(70.6%),26,3,0,2,0,22,9,102,13.7%,40.6%
第35節,いわてグルージャ盛岡,水戸ホーリーホック,1,0,0,0,2022.9.10 18:00 Kick Off,晴,全面良芝,"1,886人",21.3℃,59.1%,61.1%,68.3%,55.4%,76.9%,54.1%,28.03,23.20,3.78,1.05,7.98,0.00,94.26,15.18,0.03,1.401,19,(0.0%),3,0,573,(82.2%),23,(30.4%),9,1,5,18,(83.3%),12,(33.3%),14,(64.3%),24,1,0,1,0,73,24,119,16.0%,62.8%
第36節,水戸ホーリーホック,Ｖ・ファーレン長崎,0,1,1,0,2022.9.14 19:00 Kick Off,曇,全面良芝,"2,160人",23.7℃,57.7%,53.9%,46.6%,34.0%,35.7%,68.1%,20.81,17.55,2.29,0.97,5.33,0.00,114.95,7.33,0.03,1.188,13,(0.0%),1,0,534,(80.9%),14,(28.6%),14,1,2,20,(100.0%),13,(38.5%),22,(68.2%),9,6,1,2,0,60,14,118,11.0%,51.2%
第37節,アルビレックス新潟,水戸ホーリーホック,2,0,0,0,2022.9.18 18:00 Kick Off,晴,全面良芝,"18,439人",28.7℃,30.7%,37.6%,50.2%,35.2%,37.6%,39.8%,15.31,12.86,0.53,1.92,4.25,0.00,87.30,12.52,1.03,1.016,9,(0.0%),3,0,387,(76.0%),15,(6.7%),5,0,1,21,(95.2%),10,(40.0%),17,(52.9%),16,1,3,2,0,47,13,106,8.5%,38.8%
第31節,水戸ホーリーホック,東京ヴェルディ,1,2,1,0,2022.9.21 19:00 Kick Off,曇,全面良芝,"1,802人",18.4℃,57.1%,57.8%,35.0%,53.8%,47.1%,55.6%,17.66,13.20,3.70,0.77,16.72,3.15,83.65,14.48,1.18,1.677,17,(5.9%),6,0,468,(76.7%),19,(36.8%),9,0,7,30,(93.3%),16,(31.3%),19,(63.2%),15,3,3,1,0,44,18,131,13.0%,49.9%
第38節,徳島ヴォルティス,水戸ホーリーホック,1,1,0,1,2022.9.25 17:00 Kick Off,晴,全面良芝,"4,932人",24.3℃,29.5%,54.9%,46.6%,46.7%,42.0%,52.3%,14.42,9.88,1.63,2.90,8.86,3.15,73.13,14.77,0.09,1.363,14,(7.1%),6,0,359,(77.4%),8,(37.5%),12,4,4,22,(95.5%),20,(45.0%),14,(71.4%),34,1,0,0,0,31,11,111,12.6%,44.7%
第39節,水戸ホーリーホック,ジェフユナイテッド千葉,0,1,1,0,2022.10.2 14:00 Kick Off,晴,全面良芝,"5,476人",27.8℃,50.7%,62.5%,58.7%,48.6%,41.9%,61.6%,14.25,11.66,1.06,1.53,7.64,0.00,78.93,11.04,0.04,1.506,12,(0.0%),4,0,447,(77.0%),16,(18.8%),14,2,13,26,(80.8%),21,(28.6%),18,(72.2%),12,1,1,1,0,39,9,134,9.0%,54.7%
第40節,モンテディオ山形,水戸ホーリーホック,0,0,0,1,2022.10.9 14:00 Kick Off,曇,全面良芝,"6,885人",18℃,41.4%,52.5%,41.4%,46.3%,42.4%,50.5%,14.51,11.96,0.50,2.05,8.57,0.00,94.31,14.06,0.27,1.415,14,(0.0%),4,0,405,(77.3%),17,(5.9%),8,1,11,12,(75.0%),13,(53.8%),14,(78.6%),30,5,2,0,1,49,7,112,12.5%,45.4%
第41節,栃木ＳＣ,水戸ホーリーホック,2,3,0,3,2022.10.16 14:00 Kick Off,曇一時晴,全面良芝,"12,490人",23.4℃,60.9%,54.3%,70.4%,55.1%,62.4%,58.8%,22.57,18.44,2.61,1.52,3.97,4.58,67.79,13.59,0.28,2.466,14,(21.4%),4,1,571,(81.6%),23,(21.7%),12,0,7,34,(97.1%),11,(45.5%),22,(59.1%),20,1,0,1,1,58,20,128,10.9%,60.6%
第42節,水戸ホーリーホック,ザスパクサツ群馬,2,1,1,3,2022.10.23 14:00 Kick Off,曇一時晴,全面良芝,"6,296人",24.1℃,74.8%,54.2%,48.4%,56.3%,62.6%,51.2%,20.05,16.90,1.04,2.11,11.43,5.34,75.02,14.29,2.66,3.009,17,(11.8%),4,1,469,(80.2%),12,(16.7%),15,0,8,21,(100.0%),12,(58.3%),23,(65.2%),17,2,2,3,0,47,14,118,14.4%,57.3%
