Round,Hteam,Ateam,Hscore,Ascore,HorA,WorL,Date,Wether,Grass_condition,Spectators,temperature,TimeLine1,TimeLine2,TimeLine3,TimeLine4,TimeLine5,TimeLine6,Attack_CBP,Pass_CBP,Cross_CBP,Dribble_CBP,Shots_CBP,Score_CBP,Seizure,Diffence,Save_CBP,Expect_Goal,Shots,Shots_Success,On_Target,PK,Pass,Pass_Success,Cross,Cross_Success,D_FK,I_FK,CK,Throwing,Throwing_Success,Dribble,Dribble_Success,Tackle,Tackle_Success,Clear,Intercept,OffSide,Yellow,Red,Approach_30m,Approach_Penalty,Attack_Num,Chances,Control
第8節,ブラウブリッツ秋田,モンテディオ山形,0,0,1,1,2021.4.17 13:00 Kick Off,曇のち雨,全面良芝,"1,777人",12.9℃,43.2%,37.1%,32.1%,36.2%,45.4%,38.7%,4.82,3.79,0.48,0.55,3.12,0.00,111.86,23.66,0.28,0.721,6,(0.0%),2,0,276,(39.1%),12,(8.3%),3,2,4,36,(44.4%),10,(30.0%),28,(71.4%),40,4,1,1,0,17,4,139,4.3%,38.1%
第9節,ツエーゲン金沢,ブラウブリッツ秋田,2,1,0,0,2021.4.21 19:00 Kick Off,晴,全面良芝,"1,426人",16℃,42.0%,36.4%,36.3%,34.3%,45.1%,51.0%,8.73,6.93,1.64,0.17,4.90,3.15,108.25,15.73,0.00,0.705,10,(10.0%),4,0,286,(45.5%),17,(17.6%),12,2,2,31,(58.1%),5,(40.0%),21,(71.4%),31,0,2,0,0,20,10,142,7.0%,40.8%
第10節,ブラウブリッツ秋田,水戸ホーリーホック,1,0,1,3,2021.4.25 13:00 Kick Off,晴,全面良芝,"1,319人",12.8℃,40.1%,52.3%,41.9%,39.3%,31.4%,40.5%,5.81,4.85,0.56,0.40,3.41,2.92,111.46,15.27,0.40,1.322,11,(9.1%),2,0,269,(47.6%),13,(7.7%),10,1,4,26,(50.0%),9,(33.3%),31,(71.0%),27,2,1,0,0,25,3,146,7.5%,41%
第11節,ブラウブリッツ秋田,ファジアーノ岡山,0,1,1,0,2021.5.1 13:00 Kick Off,曇のち雨,全面良芝,"1,427人",16.5℃,47.5%,46.6%,54.1%,54.2%,44.9%,46.8%,8.91,7.18,1.61,0.12,5.00,0.00,84.54,10.78,0.27,1.751,11,(0.0%),2,0,318,(46.5%),13,(23.1%),13,0,8,42,(54.8%),6,(16.7%),30,(76.7%),25,0,1,2,0,17,7,156,7.1%,49%
第12節,Ｖ・ファーレン長崎,ブラウブリッツ秋田,1,2,0,3,2021.5.5 14:00 Kick Off,晴,全面良芝,"4,430人",24.3℃,39.3%,36.6%,30.4%,41.8%,54.2%,32.9%,9.46,6.24,2.09,1.13,6.93,4.45,71.48,11.44,0.17,1.774,14,(14.3%),3,0,228,(50.0%),18,(22.2%),12,0,5,29,(55.2%),14,(35.7%),23,(52.2%),21,0,1,1,0,20,12,115,12.2%,37.6%
第13節,ブラウブリッツ秋田,ジュビロ磐田,1,1,1,1,2021.5.9 13:00 Kick Off,晴,全面良芝,"3,961人",16.6℃,53.2%,40.3%,40.0%,33.8%,39.6%,36.3%,7.60,5.24,1.63,0.74,8.46,2.66,99.55,21.40,0.70,1.61,14,(7.1%),4,0,247,(44.9%),13,(23.1%),7,1,5,37,(62.2%),9,(33.3%),19,(68.4%),49,6,1,1,0,13,11,145,9.7%,38.9%
第14節,ヴァンフォーレ甲府,ブラウブリッツ秋田,1,0,0,0,2021.5.15 14:00 Kick Off,晴,全面良芝,"4,129人",27.6℃,38.9%,28.2%,26.8%,48.5%,31.3%,46.6%,10.57,7.22,3.11,0.25,2.56,0.00,82.71,9.90,0.80,1.401,8,(0.0%),3,0,265,(56.2%),20,(30.0%),12,1,4,25,(60.0%),5,(40.0%),15,(60.0%),6,3,1,0,0,27,11,117,6.8%,36.5%
第15節,ブラウブリッツ秋田,レノファ山口ＦＣ,1,1,1,1,2021.5.19 18:30 Kick Off,曇のち雨,全面良芝,"1,084人",15℃,45.9%,51.4%,50.2%,40.3%,25.7%,35.9%,10.45,6.96,2.60,0.89,10.48,2.68,72.00,11.98,0.85,1.434,14,(7.1%),5,0,250,(54.0%),31,(16.1%),14,0,8,29,(62.1%),11,(36.4%),14,(92.9%),18,0,4,1,1,22,11,123,11.4%,40.9%
第16節,東京ヴェルディ,ブラウブリッツ秋田,3,1,0,0,2021.5.29 16:00 Kick Off,晴,全面良芝,"2,242人",26.4℃,30.0%,19.5%,19.0%,25.6%,23.4%,36.2%,7.49,5.40,1.54,0.54,10.45,1.30,96.25,12.50,0.00,2.69,16,(6.3%),7,0,190,(57.4%),9,(33.3%),12,0,6,26,(69.2%),9,(33.3%),16,(50.0%),22,1,1,0,0,17,6,118,13.6%,26%
第17節,ブラウブリッツ秋田,ＦＣ琉球,1,1,1,1,2021.6.5 15:00 Kick Off,晴,全面良芝,"2,030人",23.2℃,41.5%,54.8%,49.8%,35.0%,39.9%,40.5%,8.75,6.16,1.49,1.11,5.75,2.68,87.30,13.33,0.26,1.061,12,(8.3%),3,0,259,(53.7%),19,(21.1%),12,1,8,24,(75.0%),6,(66.7%),29,(58.6%),18,1,0,2,0,28,8,130,9.2%,43.1%
第18節,ＦＣ町田ゼルビア,ブラウブリッツ秋田,0,2,0,3,2021.6.13 15:00 Kick Off,雨のち曇,全面良芝,"2,164人",23.9℃,37.3%,39.6%,33.0%,30.0%,34.8%,31.8%,9.46,6.39,1.52,1.55,4.99,8.12,82.05,14.43,0.32,1.154,12,(16.7%),4,0,232,(46.6%),15,(20.0%),8,3,2,31,(77.4%),7,(85.7%),16,(62.5%),18,2,2,0,0,21,6,126,9.5%,33.9%
第19節,ブラウブリッツ秋田,アルビレックス新潟,0,2,1,0,2021.6.21 19:00 Kick Off,晴,全面良芝,"3,013人",19.2℃,28.1%,18.8%,23.0%,45.4%,42.4%,48.8%,7.00,5.56,0.45,0.99,2.40,0.00,68.01,11.97,0.15,0.521,9,(0.0%),1,0,241,(53.9%),11,(9.1%),9,3,2,22,(68.2%),8,(50.0%),21,(66.7%),24,0,3,2,0,26,8,107,8.4%,33.8%
