Round,Hteam,Ateam,Hscore,Ascore,HorA,WorL,Date,Wether,Grass_condition,Spectators,temperature,TimeLine1,TimeLine2,TimeLine3,TimeLine4,TimeLine5,TimeLine6,Attack_CBP,Pass_CBP,Cross_CBP,Dribble_CBP,Shots_CBP,Score_CBP,Seizure,Diffence,Save_CBP,Expect_Goal,Shots,Shots_Success,On_Target,PK,Pass,Pass_Success,Cross,Cross_Success,D_FK,I_FK,CK,Throwing,Throwing_Success,Dribble,Dribble_Success,Tackle,Tackle_Success,Clear,Intercept,OffSide,Yellow,Red,Approach_30m,Approach_Penalty,Attack_Num,Chances,Control
第3節,Ｖ・ファーレン長崎,ヴァンフォーレ甲府,1,2,0,3,2022.3.5 14:00 Kick Off,晴,全面良芝,"4,581人",17.3℃,41.4%,48.9%,58.2%,62.2%,48.8%,39.3%,18.69,16.97,0.64,1.08,6.39,4.51,59.05,13.14,0.04,1.946,14,(14.3%),4,0,546,(83.3%),18,(5.6%),10,3,7,15,(86.7%),11,(63.6%),9,(33.3%),19,1,0,0,0,56,8,107,13.1%,49.7%
第4節,ヴァンフォーレ甲府,モンテディオ山形,1,1,1,1,2022.3.12 14:00 Kick Off,晴,全面良芝,"4,413人",21.3℃,53.5%,49.6%,62.6%,54.2%,73.5%,59.1%,26.30,22.45,2.55,1.31,7.03,3.32,127.16,12.17,0.00,0.933,13,(7.7%),4,0,671,(82.1%),29,(17.2%),6,1,9,35,(82.9%),20,(40.0%),19,(63.2%),18,4,3,1,0,88,23,135,9.6%,58.7%
第5節,アルビレックス新潟,ヴァンフォーレ甲府,2,0,0,0,2022.3.19 14:00 Kick Off,雨時々曇,全面良芝,"7,983人",9℃,39.3%,45.2%,46.0%,48.1%,52.2%,73.7%,15.73,15.05,0.56,0.11,2.49,0.00,101.89,10.66,0.00,0.905,8,(0.0%),1,0,564,(83.5%),15,(6.7%),10,2,4,21,(76.2%),13,(7.7%),20,(60.0%),12,1,2,4,0,64,9,124,6.5%,51.2%
第6節,ヴァンフォーレ甲府,横浜ＦＣ,1,2,1,0,2022.3.26 14:00 Kick Off,雨,全面良芝,"4,001人",18.1℃,34.2%,54.0%,50.0%,49.9%,49.8%,57.3%,16.57,13.75,2.07,0.75,9.35,3.20,86.43,14.28,0.99,1.334,15,(6.7%),2,0,567,(78.1%),18,(22.2%),10,0,8,21,(90.5%),9,(44.4%),17,(64.7%),12,3,1,1,0,46,19,127,11.8%,50.2%
第7節,ブラウブリッツ秋田,ヴァンフォーレ甲府,0,0,0,1,2022.3.30 18:30 Kick Off,晴,良芝,"1,308人",10.9℃,64.4%,75.7%,58.8%,50.7%,52.8%,56.4%,14.14,10.73,2.05,1.37,12.92,0.00,109.74,17.45,0.86,1.707,20,(0.0%),3,0,439,(67.7%),20,(20.0%),6,3,10,43,(76.7%),15,(46.7%),21,(85.7%),30,2,1,3,0,41,11,149,13.4%,60.2%
第8節,ヴァンフォーレ甲府,ベガルタ仙台,2,3,1,0,2022.4.3 14:00 Kick Off,雨,全面良芝,"3,037人",10.7℃,37.2%,54.5%,41.7%,48.6%,58.7%,60.6%,17.83,14.21,2.67,0.95,13.83,5.41,89.53,12.53,0.37,2.09,17,(11.8%),11,0,513,(78.2%),24,(20.8%),7,1,6,22,(95.5%),8,(62.5%),11,(72.7%),16,1,0,2,0,49,10,113,15.0%,50.7%
第9節,大宮アルディージャ,ヴァンフォーレ甲府,1,3,0,3,2022.4.9 14:00 Kick Off,晴,全面良芝,"4,838人",25.1℃,49.0%,40.2%,59.1%,35.0%,49.3%,34.6%,12.82,11.06,0.59,1.17,8.04,11.35,92.09,16.09,0.11,1.02,12,(25.0%),4,0,481,(77.5%),9,(11.1%),8,2,0,25,(88.0%),7,(71.4%),17,(58.8%),23,3,1,0,0,31,9,120,10.0%,43.8%
第10節,ツエーゲン金沢,ヴァンフォーレ甲府,2,3,0,3,2022.4.16 14:00 Kick Off,曇,全面良芝,"2,403人",14.3℃,47.2%,79.6%,53.3%,56.5%,54.6%,42.0%,18.49,14.45,3.20,0.85,11.90,6.62,113.67,14.39,0.51,2.343,17,(17.6%),7,0,614,(81.8%),11,(54.5%),11,1,6,18,(83.3%),9,(44.4%),22,(77.3%),27,0,1,0,0,37,16,129,13.2%,55.6%
第11節,ヴァンフォーレ甲府,ＦＣ町田ゼルビア,1,0,1,3,2022.4.23 14:00 Kick Off,晴,全面良芝,"5,042人",29.4℃,59.3%,47.3%,58.7%,49.3%,58.3%,38.3%,11.26,9.70,1.12,0.44,3.65,5.33,79.39,14.99,0.28,0.521,8,(12.5%),2,0,485,(79.2%),10,(20.0%),9,1,5,33,(90.9%),10,(30.0%),17,(70.6%),26,2,1,1,0,24,7,127,6.3%,51.6%
第12節,ヴァンフォーレ甲府,東京ヴェルディ,2,0,1,3,2022.4.27 19:30 Kick Off,曇,全面良芝,"3,678人",23.4℃,38.7%,29.7%,36.9%,29.7%,49.1%,33.1%,10.45,9.28,0.00,1.17,7.51,3.26,78.49,12.41,0.40,1.838,10,(20.0%),5,1,319,(74.3%),10,(0.0%),11,2,2,19,(78.9%),7,(57.1%),7,(71.4%),21,2,3,1,0,22,11,101,9.9%,35.3%
