1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
13.3%,12.8%,13.2%,8.1%,7.9%,7.3%,11.6%,7.7%,21.0%,7.9%,8.5%,12.3%,11.1%,9.4%,9.1%,11.9%,11.5%,12.3%,17.9%,13.5%,13.9%,6.9%,9.8%,19.0%,10.0%,11.6%,13.3%,14.1%,11.0%,21.7%,14.4%,10.1%,10.4%,6.6%,8.3%,10.9%,4.3%,10.6%,12.0%,13.3%,11.6%,4.8%
17,16,16,11,12,11,13,11,22,11,11,17,14,13,12,12,16,13,19,15,16,7,13,22,11,13,17,13,9,25,17,13,11,9,9,12,6,11,16,12,15,4
17.6%,25.0%,12.5%,18.2%,8.3%,18.2%,0.0%,9.1%,4.5%,0.0%,9.1%,5.9%,7.1%,0.0%,16.7%,8.3%,6.3%,15.4%,10.5%,13.3%,18.8%,0.0%,7.7%,0.0%,0.0%,7.7%,17.6%,7.7%,11.1%,4.0%,11.8%,15.4%,27.3%,0.0%,11.1%,8.3%,33.3%,18.2%,12.5%,0.0%,13.3%,0.0%
42.4%,51.1%,41.4%,48.8%,59.4%,60.0%,53.4%,54.4%,54.2%,53.3%,52.1%,49.9%,49.1%,58.5%,51.3%,47.6%,58.8%,34.7%,64.3%,58.4%,47.5%,61.4%,59.5%,60.4%,54.1%,45.7%,53.6%,49.0%,46.7%,63.5%,43.2%,56.3%,51.1%,51.1%,49.6%,54.1%,65.4%,60.3%,47.8%,56.0%,56.5%,69.5%
14.64,15.44,13.18,14.74,17.33,16.12,18.33,14.19,24.93,15.97,10.26,19.12,16.71,21.61,15.53,18.57,20.17,11.01,22.87,23.76,19.29,15.98,16.71,26.39,14.68,15.89,18.70,15.10,16.14,30.07,15.28,16.61,16.24,9.58,17.40,21.44,13.80,15.00,12.94,16.83,20.41,24.71
11.56,10.76,10.56,13.54,15.26,13.53,15.17,11.82,21.00,12.99,6.79,16.17,15.53,15.12,13.06,15.75,17.37,10.15,20.93,20.73,16.36,14.84,14.75,21.31,12.58,13.93,16.18,13.50,12.66,24.23,11.98,14.11,15.09,7.54,15.70,15.49,12.73,14.07,10.58,15.89,16.14,21.80
80.51,85.24,99.64,72.29,101.43,59.47,67.26,80.83,73.04,125.34,52.01,101.12,66.64,76.96,87.92,64.69,71.46,60.22,63.04,73.93,62.59,46.30,72.04,62.25,60.32,71.04,75.63,58.93,45.75,63.56,117.13,67.80,66.81,76.67,80.51,78.17,79.29,53.54,75.26,48.81,78.49,47.51
13.82,15.69,13.12,21.20,15.27,10.84,17.42,17.33,9.89,11.50,27.57,13.17,14.64,14.40,18.25,14.00,17.12,13.21,9.72,13.43,12.64,9.99,11.75,15.96,12.31,11.91,16.20,8.55,9.28,6.26,18.06,15.04,16.12,15.47,13.29,8.42,20.79,18.67,20.70,11.81,9.09,14.02
"鈴木x2,富所","田中,鈴木x2,上門","上門,鈴木","上門,西岡",鈴木,鈴木x2,,上門,上里,,増谷,上里,鈴木,,"富所,上原",鈴木,鈴木,"鈴木,河合","風間,越智","鈴木,上門","鈴木,西岡,越智",,増谷,,,鈴木,"風間矢,上門,和田",上門,上門,上里,"風間矢,上門","上門,上原","山田,風間希,上原",,上原,上門,上門x2,"上里,山田","上門,河合",,"上原,河合",
樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋
