1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
2.24,3.2,3.10,3.16,3.24,3.30,4.3,4.7,4.13,4.21,4.27,5.5,5.11,5.19,5.25,6.2,6.8,6.15,6.22,6.29,7.6,7.13,7.21,7.27,7.31,8.4,8.10,8.17,8.24,8.31,9.7,9.14,9.23,9.29,10.5,10.12,10.20,10.27,11.3,11.10,11.16,11.24
(日),(土),(日),(土),(日),(土),(水),(日),(土),(日),(土),(日),(土),(日),(土),(日),(土),(土),(土),(土),(土),(土),(日),(土),(水),(日),(土),(土),(土),(土),(土),(土),(月),(日),(土),(土),(日),(日),(日),(日),(土),(日)
福岡,大宮,愛媛,徳島,山形,山口,千葉,柏,東京Ｖ,鹿児島,町田,岐阜,水戸,岡山,新潟,横浜FC,金沢,京都,甲府,長崎,栃木,岡山,水戸,新潟,千葉,柏,長崎,横浜FC,徳島,岐阜,鹿児島,金沢,山形,町田,福岡,東京Ｖ,栃木,大宮,山口,京都,愛媛,甲府
3-1,4-3,2-0,2-1,1-1,2-2,0-1,1-1,1-1,0-1,1-1,1-2,1-0,0-1,2-1,1-2,1-1,2-2,2-5,2-3,3-0,0-2,1-3,0-4,0-2,1-5,3-2,1-3,1-6,1-2,2-1,2-2,3-3,0-0,1-0,1-5,2-0,2-3,2-1,0-3,2-1,0-2
H,A,H,H,A,H,A,H,A,A,H,A,H,A,H,A,H,A,H,A,H,H,A,A,H,A,H,H,A,H,H,A,H,A,A,H,A,H,A,H,A,A
タピスタ,ＮＡＣＫ,タピスタ,タピスタ,ＮＤスタ,タピスタ,フクアリ,タピスタ,味スタ,白波スタ,タピスタ,長良川,タピスタ,Ｃスタ,タピスタ,ニッパツ,タピスタ,西京極,タピスタ,トラスタ,タピスタ,タピスタ,Ｋｓスタ,デンカＳ,タピスタ,三協Ｆ柏,タピスタ,タピスタ,鳴門大塚,タピスタ,タピスタ,石川西部,タピスタ,町田,博多陸,タピスタ,栃木グ,タピスタ,みらスタ,タピスタ,ニンスタ,中銀スタ
"7,385","7,867","2,428","3,460","6,411","3,789","8,313","7,913","4,847","4,521","4,855","6,692","3,908","7,196","5,107","4,433","3,403","4,533","3,952","6,619","3,082","4,063","4,432","14,088","3,705","8,441","2,677","12,019","4,567","6,163","2,683","13,070","3,086","3,848","5,015","4,806","6,255","8,002","6,099","7,523","4,229","11,352"
曇時々雨,晴,曇,曇,晴,晴,晴,曇,晴,晴,晴,晴,晴,曇,晴,曇,曇時々雨,雨のち曇,雨,曇のち雨,晴,曇,曇,曇のち雨,曇のち晴,晴,雨,晴,曇,晴,曇時々雨,晴,曇,晴,晴,曇,曇,曇のち雨,曇,晴,晴,晴
56,47,53,47,49,47,43,41,56,47,50,46,48,56,43,50,54,51,43,59,64,12,46,64,46,54,60,49,44,68,58,51,46,50,41,57,29,43,45,50,51,48
42,45,60,39,39,41,52,50,52,44,24,47,50,54,50,45,41,45,58,46,53,47,44,37,49,48,41,50,56,66,47,47,48,41,51,43,32,36,33,38,54,34
