Round,Hteam,Ateam,Hscore,Ascore,HorA,WorL,Date,Wether,Grass_condition,Spectators,temperature,TimeLine1,TimeLine2,TimeLine3,TimeLine4,TimeLine5,TimeLine6,Attack_CBP,Pass_CBP,Cross_CBP,Dribble_CBP,Shots_CBP,Score_CBP,Seizure,Diffence,Save_CBP,Expect_Goal,Shots,Shots_Success,On_Target,PK,Pass,Pass_Success,Cross,Cross_Success,D_FK,I_FK,CK,Throwing,Throwing_Success,Dribble,Dribble_Success,Tackle,Tackle_Success,Clear,Intercept,OffSide,Yellow,Red,Approach_30m,Approach_Penalty,Attack_Num,Chances,Control,AGI,KAGI
69,サンフレッチェ広島,ベガルタ仙台,1,1,0,1,2021.2.27 14:00 Kick Off,晴,全面良芝,"8,820人",14℃,42.1%,68.3%,35.6%,37.3%,37.0%,40.5%,9.07,7.21,1.40,0.47,5.94,2.95,82.69,17.97,2.44,0.786,7,(14.3%),4,0,382,(79.6%),13,(23.1%),8,1,4,21,(61.9%),5,(40.0%),23,(82.6%),26,0,0,0,1,28,8,114,6.1%,42.4%,41,30
70,ベガルタ仙台,川崎フロンターレ,1,5,1,0,2021.3.6 14:00 Kick Off,晴,全面良芝,"9,005人",9.5℃,43.8%,34.3%,34.1%,45.2%,46.5%,40.9%,13.14,10.71,1.57,0.86,5.47,1.26,144.98,13.15,0.75,1.697,13,(7.7%),3,0,403,(73.2%),10,(30.0%),12,4,3,24,(75.0%),15,(33.3%),18,(77.8%),19,1,1,2,0,31,15,141,9.2%,40.3%,53,43
71,サガン鳥栖,ベガルタ仙台,5,0,0,0,2021.3.10 19:00 Kick Off,晴,全面良芝,"4,604人",13.6℃,46.3%,47.8%,37.1%,37.7%,48.9%,51.7%,18.01,11.99,3.78,2.24,6.18,0.00,99.41,12.62,0.59,2.066,13,(0.0%),3,1,569,(79.8%),19,(36.8%),14,1,8,10,(90.0%),12,(75.0%),11,(81.8%),17,0,1,0,0,38,12,119,10.9%,44.6%,50,59
72,湘南ベルマーレ,ベガルタ仙台,3,1,0,0,2021.3.13 16:03 Kick Off,雨,全面良芝,"3,642人",12.8℃,61.2%,58.5%,50.1%,48.0%,63.1%,65.9%,18.47,15.54,1.08,1.85,13.54,3.84,97.06,14.40,0.16,1.29,16,(6.3%),10,0,581,(80.6%),13,(15.4%),12,2,5,20,(90.0%),14,(57.1%),18,(77.8%),30,2,1,2,0,37,19,136,11.8%,58.2%,53,42
73,ＦＣ東京,ベガルタ仙台,2,1,0,0,2021.3.21 13:00 Kick Off,雨のち曇,全面良芝,"4,402人",20.1℃,39.1%,49.2%,35.4%,59.7%,68.0%,67.7%,10.79,8.65,1.45,0.69,8.71,2.59,77.32,10.71,0.29,0.919,11,(9.1%),3,0,461,(79.6%),16,(18.8%),10,0,4,26,(80.8%),7,(57.1%),22,(72.7%),13,0,1,5,0,36,6,113,9.7%,54%,43,47
74,ベガルタ仙台,ヴィッセル神戸,0,2,1,0,2021.4.3 14:00 Kick Off,晴,全面良芝,"4,619人",17.6℃,43.4%,43.3%,51.7%,47.8%,46.1%,52.8%,12.20,10.25,1.12,0.83,2.33,0.00,99.40,15.43,0.03,0.601,7,(0.0%),0,0,463,(72.6%),7,(28.6%),7,0,4,32,(71.9%),12,(41.7%),20,(70.0%),17,1,1,1,0,30,10,125,5.6%,48%,48,53
75,徳島ヴォルティス,ベガルタ仙台,1,0,0,0,2021.4.7 19:00 Kick Off,晴,全面良芝,"3,515人",16℃,43.2%,26.8%,41.9%,23.5%,57.6%,54.5%,11.85,9.24,1.04,1.57,4.70,0.00,106.37,8.93,0.51,1.054,14,(0.0%),3,0,377,(71.9%),19,(10.5%),10,2,3,30,(86.7%),12,(58.3%),15,(93.3%),11,7,1,1,0,30,13,119,11.8%,39.8%,60,63
76,ベガルタ仙台,横浜Ｆ・マリノス,0,0,1,1,2021.4.11 14:00 Kick Off,晴,全面良芝,"4,355人",13.6℃,34.9%,27.2%,25.9%,34.2%,36.5%,28.9%,5.20,3.99,1.09,0.12,1.05,0.00,92.15,21.13,0.09,0.175,4,(0.0%),1,0,235,(55.3%),12,(16.7%),10,2,0,31,(77.4%),10,(10.0%),20,(60.0%),33,5,2,1,0,23,6,129,3.1%,31.1%,47,51
77,横浜ＦＣ,ベガルタ仙台,2,2,0,1,2021.4.17 14:00 Kick Off,曇時々雨,全面良芝,"2,997人",16.9℃,43.6%,52.4%,49.1%,51.8%,67.7%,58.2%,18.38,13.22,4.11,1.04,9.20,3.84,114.83,11.17,0.19,2.846,20,(10.0%),6,0,530,(76.2%),23,(34.8%),8,1,7,28,(96.4%),17,(41.2%),18,(61.1%),9,2,0,1,0,53,13,128,15.6%,53.2%,60,51
78,北海道コンサドーレ札幌,ベガルタ仙台,2,1,0,0,2021.4.24 13:00 Kick Off,晴,全面良芝,"4,336人",19.9℃,45.8%,30.5%,30.5%,32.6%,25.6%,40.2%,10.77,8.47,1.50,0.80,2.50,2.65,93.93,18.06,0.43,0.857,12,(8.3%),2,0,318,(66.7%),12,(25.0%),6,1,4,21,(71.4%),5,(60.0%),22,(54.5%),28,4,1,0,0,38,8,121,9.9%,34.3%,54,48
79,ベガルタ仙台,柏レイソル,1,0,1,3,2021.5.1 14:00 Kick Off,曇,全面良芝,"4,292人",16.1℃,31.2%,52.4%,54.5%,37.5%,32.7%,40.4%,8.17,6.95,1.01,0.21,5.97,1.26,83.56,19.65,0.70,0.937,9,(11.1%),3,0,331,(68.9%),8,(25.0%),14,3,3,26,(73.1%),10,(20.0%),22,(77.3%),36,2,0,2,0,25,4,122,7.4%,41%,52,45
80,浦和レッズ,ベガルタ仙台,2,0,0,0,2021.5.9 16:00 Kick Off,曇,全面良芝,"4,750人",27.6℃,51.3%,26.6%,42.2%,29.4%,31.2%,41.1%,12.19,9.70,0.50,1.99,5.92,0.00,115.64,14.01,0.26,0.695,10,(0.0%),5,0,425,(81.9%),14,(7.1%),9,1,6,11,(100.0%),12,(66.7%),20,(70.0%),19,2,0,1,0,40,7,106,9.4%,38.3%,48,55
81,川崎フロンターレ,ベガルタ仙台,2,2,0,1,2021.5.12 19:00 Kick Off,曇,全面良芝,"4,752人",19.7℃,28.0%,32.9%,32.3%,29.5%,29.3%,37.7%,7.16,6.53,0.00,0.63,6.55,7.23,91.09,17.16,0.68,1.426,11,(18.2%),5,0,240,(60.4%),5,(0.0%),7,1,4,29,(82.8%),12,(25.0%),9,(77.8%),24,3,3,1,0,11,7,121,9.1%,32%,48,35
82,ベガルタ仙台,アビスパ福岡,0,1,1,0,2021.5.15 14:00 Kick Off,晴のち曇,全面良芝,"6,249人",20.3℃,44.8%,47.1%,64.5%,48.5%,39.3%,50.5%,14.06,9.12,3.58,1.37,6.84,0.00,79.29,22.01,0.49,1.257,14,(0.0%),3,0,409,(71.4%),23,(30.4%),7,1,6,25,(84.0%),21,(33.3%),15,(66.7%),32,0,0,3,0,35,12,129,10.9%,50.2%,59,43
83,ベガルタ仙台,大分トリニータ,2,1,1,3,2021.5.22 14:00 Kick Off,曇,全面良芝,"5,045人",16.9℃,33.3%,35.7%,38.0%,45.9%,49.1%,41.0%,8.90,7.41,1.49,0.00,6.79,6.07,57.17,17.48,0.87,0.623,7,(28.6%),3,0,358,(73.7%),4,(75.0%),11,2,1,29,(58.6%),4,(0.0%),12,(58.3%),27,0,2,0,0,25,7,103,6.8%,40.2%,46,53
84,名古屋グランパス,ベガルタ仙台,0,1,0,3,2021.5.26 19:00 Kick Off,曇,全面良芝,"4,999人",22℃,32.9%,36.2%,38.8%,28.1%,43.2%,33.8%,8.99,5.43,2.15,1.40,5.96,3.84,105.75,23.20,0.51,0.443,7,(14.3%),3,0,288,(61.5%),10,(40.0%),10,0,6,27,(66.7%),9,(44.4%),25,(76.0%),43,1,1,0,0,17,10,131,5.3%,35.3%,51,33
85,ベガルタ仙台,セレッソ大阪,1,1,1,1,2021.5.30 15:00 Kick Off,晴,全面良芝,"8,346人",21.6℃,44.5%,39.2%,35.2%,46.3%,45.3%,44.9%,11.41,9.31,1.01,1.09,5.89,2.64,102.49,14.74,1.51,0.93,10,(10.0%),4,0,409,(77.8%),12,(16.7%),12,2,1,13,(76.9%),14,(50.0%),15,(73.3%),26,2,0,1,0,35,6,109,9.2%,42%,46,48
86,鹿島アントラーズ,ベガルタ仙台,1,1,0,1,2021.6.20 17:00 Kick Off,曇,全面良芝,"9,312人",21.9℃,38.3%,42.1%,33.6%,43.9%,35.5%,41.1%,6.33,4.95,0.49,0.89,4.60,2.59,83.75,24.53,1.31,1.013,6,(16.7%),3,0,300,(67.3%),5,(20.0%),4,1,2,23,(87.0%),9,(33.3%),30,(70.0%),51,3,1,1,0,15,3,131,4.6%,39.2%,31,35
87,ベガルタ仙台,清水エスパルス,2,3,1,0,2021.6.23 19:00 Kick Off,曇,全面良芝,"5,054人",21.1℃,49.0%,59.2%,63.3%,62.2%,49.9%,65.0%,16.41,12.92,3.04,0.44,10.53,7.19,93.11,16.09,0.04,1.192,14,(14.3%),8,0,589,(80.1%),22,(27.3%),8,0,5,26,(100.0%),8,(37.5%),33,(69.7%),31,4,2,1,0,46,13,117,12.0%,59.3%,54,49
88,ベガルタ仙台,浦和レッズ,0,0,1,1,2021.7.3 19:00 Kick Off,雨のち曇,全面良芝,"8,243人",20.7℃,38.4%,17.5%,37.6%,35.2%,42.1%,41.4%,8.74,6.73,0.99,1.02,5.33,0.00,61.44,16.53,1.23,0.776,11,(0.0%),3,0,306,(69.6%),15,(13.3%),9,1,4,20,(85.0%),9,(55.6%),9,(77.8%),16,2,1,2,0,27,8,98,11.2%,36%,54,49
89,ベガルタ仙台,北海道コンサドーレ札幌,1,1,1,1,2021.7.10 19:00 Kick Off,曇,全面良芝,"7,885人",22.6℃,27.4%,37.5%,31.0%,56.8%,28.3%,43.8%,6.93,4.61,1.00,1.32,6.90,2.90,40.23,19.02,0.45,1.533,10,(10.0%),3,0,265,(71.7%),6,(33.3%),7,6,2,13,(76.9%),12,(50.0%),11,(72.7%),29,0,0,0,0,20,4,92,10.9%,37.7%,43,45
90,ベガルタ仙台,ガンバ大阪,0,1,1,0,2021.8.3 19:00 Kick Off,晴,全面良芝,"4,940人",28.5℃,51.5%,51.3%,53.1%,52.6%,64.0%,66.1%,16.81,13.22,1.98,1.60,4.70,0.00,81.04,12.88,0.22,1.537,16,(0.0%),3,0,574,(82.2%),22,(18.2%),7,0,5,19,(94.7%),12,(50.0%),6,(83.3%),20,3,2,1,0,49,16,105,15.2%,56.1%,54,55
91,セレッソ大阪,ベガルタ仙台,0,0,0,1,2021.8.9 19:00 Kick Off,曇,全面良芝,"4,200人",28.3℃,41.7%,56.1%,35.3%,33.7%,43.4%,62.9%,10.94,8.69,0.51,1.73,2.28,0.00,80.10,13.06,0.54,0.355,6,(0.0%),2,0,451,(78.3%),12,(8.3%),8,0,4,22,(100.0%),11,(72.7%),19,(68.4%),31,1,2,1,0,35,7,106,5.7%,47.2%,49,48
92,ベガルタ仙台,横浜ＦＣ,0,0,1,1,2021.8.14 19:00 Kick Off,雨,全面良芝,"5,827人",19℃,58.6%,57.0%,53.1%,73.4%,54.4%,64.9%,17.37,13.66,2.84,0.88,3.77,0.00,75.76,9.00,0.33,1.166,9,(0.0%),3,0,620,(85.8%),24,(20.8%),16,1,6,24,(91.7%),12,(33.3%),18,(66.7%),10,1,0,1,0,59,11,105,8.6%,59.8%,50,56
93,横浜Ｆ・マリノス,ベガルタ仙台,5,0,0,0,2021.8.21 18:00 Kick Off,晴時々曇,全面良芝,"4,857人",27.7℃,27.3%,29.8%,28.0%,47.9%,38.7%,39.2%,8.30,5.65,2.06,0.59,6.17,0.00,100.87,16.04,0.69,0.725,10,(0.0%),2,0,307,(70.0%),15,(26.7%),8,2,5,25,(88.0%),8,(50.0%),16,(62.5%),19,0,3,1,0,22,7,126,7.9%,35.1%,47,40
94,ベガルタ仙台,ＦＣ東京,1,2,1,0,2021.8.25 19:00 Kick Off,晴,全面良芝,"3,096人",27.8℃,40.8%,56.0%,55.4%,45.9%,55.9%,43.3%,10.33,8.08,2.14,0.11,3.59,2.95,50.68,13.29,0.78,0.719,9,(11.1%),2,0,340,(77.6%),14,(28.6%),12,2,3,17,(100.0%),6,(16.7%),21,(61.9%),28,0,1,2,0,34,5,88,10.2%,49.3%,49,36
95,ベガルタ仙台,サガン鳥栖,0,1,1,0,2021.8.29 19:00 Kick Off,晴,全面良芝,"3,807人",26.9℃,16.5%,30.1%,20.6%,37.6%,39.0%,46.2%,9.14,6.27,1.96,0.91,4.23,0.00,71.31,12.69,0.47,0.874,7,(0.0%),3,0,306,(70.9%),10,(40.0%),12,1,0,20,(65.0%),8,(50.0%),14,(78.6%),19,1,1,0,0,26,6,96,7.3%,31.8%,48,52
96,ガンバ大阪,ベガルタ仙台,2,3,0,3,2021.9.12 18:30 Kick Off,曇,全面良芝,"4,777人",24.6℃,43.9%,43.8%,46.4%,39.0%,42.3%,47.7%,12.61,9.94,0.52,2.15,9.47,8.65,71.16,13.94,0.48,1.452,13,(23.1%),6,0,416,(78.6%),7,(14.3%),7,0,2,19,(100.0%),12,(50.0%),15,(60.0%),26,2,1,1,0,34,9,105,12.4%,44.5%,48,53
97,清水エスパルス,ベガルタ仙台,2,1,0,0,2021.9.18 19:00 Kick Off,曇,全面良芝,"5,453人",25.2℃,48.1%,39.8%,55.7%,47.4%,57.0%,55.7%,15.29,10.44,2.98,1.88,6.57,4.02,75.66,12.03,0.41,0.943,13,(7.7%),3,0,394,(78.7%),14,(42.9%),17,2,1,18,(66.7%),8,(87.5%),17,(76.5%),17,1,4,2,0,38,10,103,12.6%,51.2%,54,67
98,ベガルタ仙台,徳島ヴォルティス,0,1,1,0,2021.9.25 14:00 Kick Off,曇,全面良芝,"4,613人",21.1℃,39.5%,45.1%,37.7%,39.7%,25.0%,39.1%,11.04,8.47,2.02,0.55,3.44,0.00,83.08,12.13,0.26,0.564,8,(0.0%),1,0,409,(70.7%),18,(22.2%),12,0,4,24,(79.2%),5,(80.0%),17,(70.6%),12,1,1,1,0,33,7,109,7.3%,37.8%,49,76
99,柏レイソル,ベガルタ仙台,1,1,0,1,2021.10.2 16:00 Kick Off,晴,全面良芝,"5,430人",27.8℃,33.9%,48.3%,50.2%,43.1%,49.4%,44.5%,10.24,8.65,0.53,1.07,5.85,3.16,57.46,24.61,0.13,0.762,10,(10.0%),5,0,350,(64.9%),12,(8.3%),10,0,3,27,(81.5%),9,(55.6%),14,(57.1%),25,2,1,0,0,23,13,112,8.9%,44.4%,51,35
100,大分トリニータ,ベガルタ仙台,2,0,0,0,2021.10.17 14:00 Kick Off,晴,全面良芝,"8,897人",19.9℃,30.8%,24.8%,22.7%,53.7%,51.3%,58.4%,7.00,5.99,0.47,0.53,0.00,0.00,101.26,13.64,0.24,0.404,4,(0.0%),0,0,373,(68.6%),10,(10.0%),10,1,1,24,(83.3%),9,(44.4%),25,(56.0%),10,3,1,1,0,25,5,118,3.4%,39.4%,34,48
101,ベガルタ仙台,サンフレッチェ広島,2,0,1,3,2021.10.23 14:00 Kick Off,晴,全面良芝,"6,236人",13.9℃,38.6%,28.2%,34.7%,37.4%,30.1%,35.1%,10.36,8.04,0.47,1.84,5.67,7.23,121.94,23.86,0.60,0.83,11,(18.2%),5,0,334,(72.5%),10,(10.0%),6,0,2,16,(75.0%),10,(60.0%),24,(70.8%),23,1,1,1,0,28,13,117,9.4%,34.5%,49,37
102,ヴィッセル神戸,ベガルタ仙台,4,2,0,0,2021.11.3 16:00 Kick Off,晴,全面良芝,"11,427人",19.7℃,40.3%,46.1%,28.4%,33.8%,29.9%,44.5%,8.12,6.83,0.54,0.74,5.36,5.85,94.56,15.72,1.44,0.892,7,(28.6%),3,0,327,(72.5%),13,(7.7%),6,0,4,20,(90.0%),12,(41.7%),22,(54.5%),22,1,1,2,1,24,7,102,6.9%,37.1%,45,43
103,ベガルタ仙台,名古屋グランパス,1,1,1,1,2021.11.7 14:00 Kick Off,晴,全面良芝,"8,341人",17℃,38.1%,41.9%,52.7%,43.1%,37.7%,37.6%,10.39,9.28,0.00,1.11,4.73,5.10,81.18,13.81,0.47,0.325,8,(12.5%),3,0,410,(77.8%),9,(0.0%),9,2,2,17,(94.1%),9,(44.4%),19,(63.2%),19,1,1,0,0,30,2,107,7.5%,41.9%,21,54
104,ベガルタ仙台,湘南ベルマーレ,0,2,1,0,2021.11.20 14:00 Kick Off,晴,全面良芝,"8,362人",14.3℃,46.2%,58.3%,66.2%,56.7%,58.4%,60.5%,13.00,10.78,1.63,0.59,3.36,0.00,93.84,13.21,0.26,1.598,11,(0.0%),2,0,541,(77.1%),19,(15.8%),15,1,3,27,(88.9%),18,(33.3%),21,(71.4%),15,2,4,1,0,40,9,119,9.2%,58.1%,45,47
105,アビスパ福岡,ベガルタ仙台,2,2,0,1,2021.11.27 14:00 Kick Off,晴,全面良芝,"7,663人",15.1℃,56.6%,50.7%,54.4%,50.0%,43.4%,38.1%,11.75,9.40,1.61,0.74,4.55,4.14,103.11,18.63,0.36,1.393,16,(12.5%),3,0,437,(74.1%),19,(15.8%),8,0,8,16,(87.5%),9,(33.3%),19,(68.4%),26,1,3,1,0,37,11,115,13.9%,48.4%,54,38
106,ベガルタ仙台,鹿島アントラーズ,0,1,1,0,2021.12.4 14:00 Kick Off,曇,全面良芝,"8,569人",9.6℃,40.3%,36.6%,31.4%,52.9%,39.2%,58.1%,11.92,9.39,1.07,1.46,4.75,0.00,72.12,15.70,0.34,0.874,11,(0.0%),0,0,351,(74.1%),13,(15.4%),15,2,3,30,(73.3%),10,(50.0%),18,(66.7%),24,2,2,0,0,32,9,122,9.0%,43.6%,49,37
107,ベガルタ仙台,アルビレックス新潟,0,0,1,1,2022.2.20 14:00 Kick Off,晴,全面良芝,"9,617人",6.6℃,34.0%,39.7%,51.8%,42.2%,48.8%,43.4%,12.65,9.69,2.02,0.93,3.55,0.00,82.71,20.63,0.48,0.447,6,(0.0%),3,0,465,(80.6%),11,(36.4%),12,1,2,20,(75.0%),8,(62.5%),22,(77.3%),37,1,3,1,0,35,8,119,5.0%,43.1%,45,37
108,水戸ホーリーホック,ベガルタ仙台,2,3,0,3,2022.2.27 14:00 Kick Off,晴,全面良芝,"4,673人",18.3℃,43.2%,50.0%,57.4%,50.1%,42.7%,46.5%,14.60,12.04,1.42,1.14,11.85,6.68,107.17,14.95,0.92,2.363,18,(16.7%),5,1,432,(70.8%),13,(23.1%),9,4,5,25,(72.0%),11,(54.5%),32,(65.6%),12,4,2,2,0,28,14,138,13.0%,48.9%,50,42
109,ベガルタ仙台,ザスパクサツ群馬,0,0,1,1,2022.3.6 14:00 Kick Off,晴,全面良芝,"7,072人",5.8℃,64.0%,65.1%,66.1%,73.7%,60.6%,55.8%,23.98,22.62,1.11,0.25,4.38,0.00,77.81,8.20,0.25,0.858,9,(0.0%),2,0,864,(86.5%),22,(9.1%),6,1,5,32,(96.9%),7,(28.6%),19,(73.7%),5,2,1,0,0,66,15,113,8.0%,63.9%,52,55
110,ベガルタ仙台,いわてグルージャ盛岡,3,0,1,3,2022.3.12 13:00 Kick Off,晴,全面良芝,"7,207人",15.1℃,60.4%,67.4%,56.5%,64.8%,56.1%,57.7%,19.44,15.66,1.52,2.26,10.94,11.35,94.93,17.52,0.11,1.053,13,(23.1%),8,0,558,(79.7%),14,(21.4%),19,4,4,19,(84.2%),13,(46.2%),21,(61.9%),29,3,3,1,0,38,13,122,10.7%,60%,52,38
111,モンテディオ山形,ベガルタ仙台,2,3,0,3,2022.3.20 14:00 Kick Off,曇時々晴,全面良芝,"11,456人",9.5℃,40.1%,35.5%,56.2%,50.6%,54.5%,54.6%,19.66,15.83,0.59,3.24,10.24,9.39,91.15,15.00,0.19,1.341,14,(21.4%),7,0,475,(77.3%),17,(5.9%),11,4,6,20,(80.0%),17,(70.6%),19,(63.2%),18,6,0,2,0,45,19,126,11.1%,49%,62,48
112,ベガルタ仙台,ＦＣ町田ゼルビア,0,3,1,0,2022.3.26 14:00 Kick Off,雨,全面良芝,"7,234人",11.1℃,56.9%,67.9%,60.7%,60.2%,47.2%,65.5%,16.85,16.12,0.56,0.16,2.31,0.00,84.22,16.78,0.60,0.245,6,(0.0%),1,0,652,(81.3%),15,(6.7%),17,4,0,26,(92.3%),7,(28.6%),13,(76.9%),20,5,1,1,0,38,9,131,4.6%,59.7%,40,45
113,ベガルタ仙台,大分トリニータ,1,3,1,0,2022.3.30 19:00 Kick Off,晴,全面良芝,"5,447人",14.1℃,32.7%,41.3%,47.1%,54.9%,48.0%,56.0%,14.39,12.64,1.01,0.73,10.31,5.33,83.79,12.16,0.48,0.692,15,(6.7%),4,0,460,(81.7%),14,(14.3%),13,2,3,28,(96.4%),8,(62.5%),22,(59.1%),18,2,2,0,0,41,11,114,13.2%,47.3%,51,55
114,ヴァンフォーレ甲府,ベガルタ仙台,2,3,0,3,2022.4.3 14:00 Kick Off,雨,全面良芝,"3,037人",10.7℃,62.8%,45.5%,58.3%,51.4%,41.3%,39.4%,15.86,12.34,2.29,1.24,15.56,8.73,90.00,21.43,1.92,1.513,16,(18.8%),8,0,514,(75.7%),13,(30.8%),10,0,1,22,(95.5%),7,(57.1%),22,(59.1%),31,5,1,0,0,32,11,124,12.9%,49.3%,45,44
115,ベガルタ仙台,レノファ山口ＦＣ,2,1,1,3,2022.4.10 14:00 Kick Off,晴,全面良芝,"7,613人",22.2℃,42.5%,47.4%,26.6%,18.5%,29.8%,31.7%,5.54,4.41,1.13,0.00,4.33,5.83,75.25,19.32,1.66,0.7,8,(25.0%),3,0,241,(65.6%),5,(40.0%),9,0,2,13,(46.2%),5,(0.0%),19,(73.7%),43,1,2,4,1,21,4,109,7.3%,31.8%,34,33
116,横浜ＦＣ,ベガルタ仙台,2,1,0,0,2022.4.17 14:00 Kick Off,曇,全面良芝,"5,475人",18.6℃,30.3%,46.5%,33.9%,31.1%,41.9%,43.0%,12.65,10.39,1.08,1.18,6.76,4.24,84.20,10.15,0.27,0.804,12,(8.3%),5,0,363,(75.2%),11,(18.2%),16,0,2,20,(75.0%),6,(83.3%),15,(66.7%),21,3,1,2,0,33,11,109,11.0%,38.1%,54,59
117,ベガルタ仙台,ＦＣ琉球,2,0,1,3,2022.4.23 14:00 Kick Off,晴,全面良芝,"6,657人",19℃,59.1%,69.6%,56.7%,49.9%,39.8%,42.3%,21.31,17.72,2.33,1.26,11.70,5.56,97.14,12.59,0.20,1.83,19,(10.5%),8,0,594,(85.4%),16,(25.0%),11,0,7,18,(72.2%),14,(35.7%),19,(73.7%),15,2,1,1,0,51,18,115,16.5%,53.7%,56,63
118,ロアッソ熊本,ベガルタ仙台,0,2,0,3,2022.4.27 19:00 Kick Off,晴,全面良芝,"1,671人",22℃,43.4%,29.6%,44.9%,33.7%,46.1%,54.8%,17.67,15.00,1.07,1.60,11.72,6.99,109.25,15.32,1.07,1.957,22,(9.1%),6,0,441,(80.5%),14,(14.3%),11,1,3,17,(82.4%),11,(45.5%),23,(73.9%),30,3,1,0,0,32,10,116,19.0%,43.4%,55,49
119,ベガルタ仙台,ブラウブリッツ秋田,3,1,1,3,2022.5.1 16:00 Kick Off,雨,全面良芝,"9,612人",11.3℃,71.0%,75.0%,69.4%,73.5%,67.9%,62.3%,23.53,19.02,2.17,2.33,8.40,10.49,114.49,18.66,0.82,2.052,19,(15.8%),6,0,722,(83.2%),20,(20.0%),6,0,7,29,(82.8%),12,(75.0%),18,(66.7%),29,2,0,0,0,45,19,136,14.0%,69.8%,53,42
120,東京ヴェルディ,ベガルタ仙台,3,1,0,0,2022.5.4 14:00 Kick Off,晴,全面良芝,"12,521人",24.1℃,38.0%,39.0%,50.3%,49.9%,43.0%,50.0%,14.70,11.28,2.07,1.34,11.20,2.63,75.29,12.80,0.46,1.947,16,(6.3%),6,0,416,(79.8%),13,(30.8%),11,0,4,25,(76.0%),8,(50.0%),13,(84.6%),21,2,1,0,0,31,10,111,14.4%,45%,52,29
121,Ｖ・ファーレン長崎,ベガルタ仙台,0,2,0,3,2022.5.8 14:00 Kick Off,晴,全面良芝,"10,345人",26.1℃,34.0%,33.0%,35.0%,34.5%,59.7%,35.3%,9.59,7.38,1.10,1.11,4.71,4.16,64.56,17.71,0.29,0.874,5,(40.0%),4,0,364,(76.9%),3,(66.7%),13,0,0,24,(79.2%),10,(40.0%),14,(57.1%),34,1,1,0,0,13,5,113,4.4%,38.4%,37,48
122,ベガルタ仙台,ツエーゲン金沢,4,1,1,3,2022.5.15 14:00 Kick Off,晴,全面良芝,"8,536人",19.7℃,53.5%,46.7%,60.0%,48.8%,31.9%,42.8%,17.82,14.29,2.24,1.29,8.89,9.74,82.56,17.32,0.51,1.764,12,(33.3%),7,0,494,(82.8%),11,(36.4%),6,0,3,20,(70.0%),9,(44.4%),21,(76.2%),27,1,2,1,0,31,12,107,11.2%,47.7%,46,46
123,大宮アルディージャ,ベガルタ仙台,2,4,0,3,2022.5.21 14:00 Kick Off,雨のち曇,全面良芝,"6,388人",19.5℃,72.7%,65.4%,36.8%,52.1%,51.8%,52.7%,17.84,13.73,2.16,1.94,12.01,12.11,70.77,17.39,0.17,1.527,15,(26.7%),7,0,561,(83.8%),8,(50.0%),11,3,4,20,(75.0%),9,(55.6%),15,(86.7%),27,5,3,1,0,27,13,116,12.9%,55.3%,44,43
124,ベガルタ仙台,ファジアーノ岡山,0,0,1,1,2022.5.25 19:00 Kick Off,曇のち晴,全面良芝,"6,358人",19.2℃,65.2%,41.9%,64.1%,56.6%,58.0%,57.0%,19.05,14.57,2.63,1.85,9.21,0.00,107.47,10.53,0.60,0.843,15,(0.0%),5,0,545,(78.3%),20,(25.0%),15,1,7,19,(78.9%),9,(77.8%),25,(68.0%),16,2,1,1,0,39,16,124,12.1%,57.6%,55,49
125,ベガルタ仙台,栃木ＳＣ,2,1,1,3,2022.5.29 14:00 Kick Off,晴,全面良芝,"9,273人",28.2℃,46.9%,43.4%,62.3%,57.0%,50.9%,38.5%,12.74,9.86,2.17,0.72,10.95,2.57,44.10,18.46,0.36,1.333,13,(15.4%),6,0,465,(77.8%),15,(26.7%),8,1,8,21,(90.5%),4,(75.0%),14,(42.9%),24,2,0,1,0,15,8,111,11.7%,49.4%,46,32
126,ジェフユナイテッド千葉,ベガルタ仙台,2,0,0,0,2022.6.5 14:00 Kick Off,晴のち曇,全面良芝,"7,401人",27.3℃,51.2%,72.4%,45.3%,50.8%,55.8%,68.9%,14.04,12.21,1.16,0.68,5.79,0.00,85.16,8.41,0.14,1.341,13,(0.0%),4,0,583,(81.3%),9,(22.2%),15,2,2,36,(80.6%),13,(15.4%),15,(80.0%),11,3,0,1,0,37,8,125,10.4%,57.3%,42,50
127,徳島ヴォルティス,ベガルタ仙台,2,2,0,1,2022.6.11 18:00 Kick Off,雨,全面良芝,"2,965人",21.5℃,36.3%,49.5%,42.3%,48.2%,41.3%,54.8%,15.02,12.42,2.11,0.48,6.13,5.33,81.66,10.69,0.17,2.186,13,(15.4%),4,1,452,(75.9%),13,(38.5%),13,1,6,30,(86.7%),8,(37.5%),15,(60.0%),12,4,0,3,0,26,12,125,10.4%,44.8%,50,61
128,ベガルタ仙台,横浜ＦＣ,2,3,1,0,2022.6.18 18:00 Kick Off,曇,全面良芝,"11,988人",24℃,44.6%,59.5%,61.4%,60.0%,52.5%,70.0%,20.70,18.26,1.49,0.96,6.20,5.58,114.36,8.92,0.00,1.389,15,(13.3%),4,0,630,(80.3%),14,(21.4%),15,1,1,20,(100.0%),10,(40.0%),25,(76.0%),8,4,3,1,0,57,11,135,11.1%,58.5%,53,60
