Round,Hteam,Ateam,Hscore,Ascore,HorA,WorL,Date,Wether,Grass_condition,Spectators,temperature,TimeLine1,TimeLine2,TimeLine3,TimeLine4,TimeLine5,TimeLine6,Attack_CBP,Pass_CBP,Cross_CBP,Dribble_CBP,Shots_CBP,Score_CBP,Seizure,Diffence,Save_CBP,Expect_Goal,Shots,Shots_Success,On_Target,PK,Pass,Pass_Success,Cross,Cross_Success,D_FK,I_FK,CK,Throwing,Throwing_Success,Dribble,Dribble_Success,Tackle,Tackle_Success,Clear,Intercept,OffSide,Yellow,Red,Approach_30m,Approach_Penalty,Attack_Num,Chances,Control,AGI,KAGI
32,ガンバ大阪,ベガルタ仙台,2,0,0,0,2019.11.23 15:00 Kick Off,晴,全面良芝,"26,256人",20.4℃,34.5%,36.4%,35.1%,35.7%,41.9%,41.0%,10.20,8.22,0.90,1.08,3.45,0.00,79.60,24.98,0.51,0.616,10,(0.0%),2,0,372,(78.8%),9,(22.2%),10,0,3,24,(83.3%),14,(35.7%),21,(61.9%),29,2,4,0,0,37,6,115,8.7%,37.6%,47,32
33,ベガルタ仙台,大分トリニータ,2,0,1,3,2019.11.30 14:00 Kick Off,晴,全面良芝,"13,894人",8.2℃,30.5%,34.3%,29.1%,21.9%,24.0%,32.9%,5.87,4.72,0.98,0.18,5.31,5.66,75.96,19.17,0.44,0.708,11,(18.2%),3,0,244,(74.2%),5,(40.0%),12,1,3,12,(66.7%),4,(50.0%),13,(76.9%),32,2,2,0,0,17,2,96,11.5%,29%,40,49
34,サンフレッチェ広島,ベガルタ仙台,1,0,0,0,2019.12.7 14:00 Kick Off,晴,全面良芝,"13,228人",10.1℃,38.7%,32.9%,26.2%,36.1%,37.5%,38.1%,7.74,6.94,0.60,0.19,0.00,0.00,90.10,23.01,1.19,0.461,5,(0.0%),0,0,338,(71.6%),9,(11.1%),11,2,5,19,(73.7%),7,(28.6%),19,(68.4%),34,4,1,0,0,18,3,110,4.5%,34.6%,32,24
35,ベガルタ仙台,名古屋グランパス,1,1,1,1,2020.2.22 14:00 Kick Off,曇,全面良芝,"13,968人",9.7℃,48.3%,39.5%,36.1%,40.8%,34.8%,32.8%,7.43,5.74,0.92,0.77,5.67,1.23,113.31,17.22,0.29,0.97,12,(8.3%),3,0,295,(60.7%),12,(16.7%),7,0,5,23,(60.9%),12,(25.0%),28,(67.9%),26,1,1,1,0,24,9,130,9.2%,38.4%,50,44
36,湘南ベルマーレ,ベガルタ仙台,0,1,0,3,2020.7.4 19:00 Kick Off,曇,全面良芝,0人,25.6℃,39.0%,37.3%,34.4%,46.2%,50.8%,47.2%,14.16,8.27,2.09,3.80,5.35,5.35,80.49,17.18,0.19,1.246,15,(6.7%),3,0,378,(69.8%),16,(25.0%),12,1,9,19,(84.2%),24,(45.8%),19,(47.4%),33,2,2,1,0,37,17,123,12.2%,41.9%,58,50
37,ベガルタ仙台,浦和レッズ,1,2,1,0,2020.7.8 18:00 Kick Off,曇,全面良芝,0人,22.2℃,53.0%,48.2%,36.4%,55.1%,41.9%,44.3%,15.71,10.21,4.88,0.62,5.30,1.23,98.23,12.57,0.63,2.168,16,(6.3%),4,0,442,(79.4%),23,(39.1%),9,2,6,20,(95.0%),12,(33.3%),15,(80.0%),22,2,0,0,0,54,13,121,13.2%,45.7%,52,44
38,横浜ＦＣ,ベガルタ仙台,1,1,0,1,2020.7.12 18:00 Kick Off,晴のち曇,全面良芝,"2,235人",24.7℃,30.9%,37.1%,34.4%,47.5%,53.0%,43.5%,13.33,7.74,3.46,2.13,9.70,3.15,124.63,13.03,0.18,1.509,13,(7.7%),3,0,349,(68.8%),22,(31.8%),12,4,4,20,(55.0%),15,(66.7%),23,(78.3%),15,3,1,3,0,36,16,126,10.3%,40.7%,62,49
39,ベガルタ仙台,北海道コンサドーレ札幌,2,2,1,1,2020.7.18 18:00 Kick Off,曇,全面良芝,"2,597人",21.4℃,54.2%,46.6%,55.1%,49.9%,51.6%,39.3%,17.16,11.86,3.55,1.75,9.58,7.86,103.35,12.69,0.98,3.02,19,(10.5%),7,0,445,(81.8%),23,(30.4%),14,1,7,16,(87.5%),13,(61.5%),19,(84.2%),28,3,1,2,0,44,16,111,17.1%,49.6%,55,51
40,ベガルタ仙台,川崎フロンターレ,2,3,1,0,2020.7.22 19:30 Kick Off,曇,全面良芝,"2,507人",26℃,29.1%,42.4%,27.6%,32.8%,52.0%,51.5%,10.16,8.80,0.49,0.87,3.54,8.68,59.86,15.73,0.49,1.105,11,(18.2%),2,0,377,(76.9%),7,(14.3%),6,1,3,14,(85.7%),7,(57.1%),17,(70.6%),19,2,2,0,0,26,10,100,11.0%,39.4%,44,36
41,柏レイソル,ベガルタ仙台,5,1,0,0,2020.7.26 19:00 Kick Off,曇一時雨,全面良芝,"2,500人",26℃,52.4%,58.6%,46.2%,50.6%,66.5%,39.9%,16.65,10.94,3.05,2.67,7.85,1.19,62.64,14.11,2.72,1.643,14,(7.1%),4,0,509,(80.7%),18,(33.3%),12,0,4,23,(91.3%),11,(90.9%),15,(40.0%),12,3,3,1,0,34,10,117,12.0%,50.5%,46,46
